web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
1667465646-117,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Geography and Geoscience,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-118,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Geography- Geography and Geoscience,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-119,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Ancient History and Archaeology,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-120,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Earth Sciences,4 years,On Campus,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-121,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Electronic and Computer Engineering,5 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-122,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Environmental Sciences,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-123,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Physics,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-124,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master Stage Design,1 year,On Campus,Full Time,null,31-Jul-21,INR 17.7 L/Yr
1667465646-125,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Bioengineering,1 year,null,Full Time,null,31-Jul-21,INR 20 L/Yr
1667465646-126,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Engineering (Sustainable Energy),1 year,null,Full Time,null,31-Jul-21,INR 20 L/Yr
1667465646-127,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Pharmaceutical Technology,1 year,null,Full Time,null,31-Jul-21,INR 8.8 L/Yr
1667465646-128,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Business Studies and French,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.2 L/Yr
1667465646-129,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Business Studies and German,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.2 L/Yr
1667465646-130,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Business Studies and Polish,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.2 L/Yr
1667465646-131,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Business Studies and Russian,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.2 L/Yr
1667465646-132,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Business Studies and Spanish,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.2 L/Yr
1667465646-133,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Chemical Sciences,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-134,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Classical Languages (TSM),4 years,null,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-135,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Dental Science,5 years,Honours,Full Time,6.5,01-Feb-21,INR 40.2 L/Yr
1667465646-136,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Dental Technology (Ordinary Degree),3 years,null,Full Time,6.5,31-Jul-21,INR 40.2 L/Yr
1667465646-137,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Geoscience,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-138,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor Music Education,4 years,Honours,Full Time,6.5,01-Feb-21,INR 16.7 L/Yr
1667465646-139,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Ancient and medieval history and culture,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-140,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Biochemistry,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-141,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Biomedical Engineering,5 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-142,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Botany,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-143,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,"Bachelor of Arts [B.A] Business, Economic and Social Studies (BESS)",4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-144,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Chemistry,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-145,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Chemistry with Molecular Modelling,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-146,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Classical Civilisation,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-147,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Classics,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-148,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Computer Science and Business,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-149,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,"Bachelor of Arts [B.A] Computer Science, Linguistics and a Language",4 years,On Campus,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-150,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Drama and Theatre Studies,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-151,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Economics (TSM),4 years,null,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-152,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Electronic Engineering,5 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-153,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Engineering,5 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-154,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] English Literature (TSM),4 years,null,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-155,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] English Studies,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-156,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Film Studies (TSM),4 years,null,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-157,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Genetics,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-158,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Geography,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-159,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Geology,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-160,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] History,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-161,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] History and Political Science,4 years,null,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-162,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] History of art and architecture (TSM),4 years,null,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-163,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Human Genetics,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-164,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Immunology,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-165,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Italian (TSM),4 years,null,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-166,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Jewish and Islamic Studies (TSM),4 years,null,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-167,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Management science and information systems studies (MSISS),4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-168,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Mathematics,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-169,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Mechanical and Manufacturing Engineering,5 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-170,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Medicinal Chemistry,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-171,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Microbiology,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-172,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Molecular Medicine- Biological and Biomedical Sciences,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-173,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,"Bachelor of Arts [B.A] Nanoscience, Physics and Chemistry of Advanced Materials",4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-174,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Neuroscience,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-175,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Philosophy,4 years,Honours,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-176,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Physics and Astrophysics,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-177,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Physiology,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-178,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Political Science and Geography,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-179,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Spanish (TSM),4 years,null,Full Time,6.5,31-Jul-21,INR 16.2 L/Yr
1667465646-180,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Theoretical Physics,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-181,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Arts [B.A] Zoology,4 years,Honours,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-182,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Laws [L.L.B] Law,4 years,null,Full Time,6.5,31-Jul-21,INR 16.7 L/Yr
1667465646-183,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Clinical Speech and Language Studies,4 years,null,Full Time,6.5,31-Jul-21,INR 30.5 L/Yr
1667465646-184,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Engineering with Management,5 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-185,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Human Health and Disease,4 years,On Campus,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-186,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Human Nutrition and Dietetics,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-187,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Music,4 years,On Campus,Full Time,6.5,01-Feb-21,INR 16.7 L/Yr
1667465646-188,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Nursing (General),4 years,On Campus,Full Time,6.5,31-Jul-21,INR 18.9 L/Yr
1667465646-189,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Occupational Therapy,4 years,On Campus,Full Time,6.5,31-Jul-21,INR 19.9 L/Yr
1667465646-190,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Pharmacy,5 years,Honours,Full Time,6.5,30-Jun-23,INR 15.7 L/Yr
1667465646-191,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Physiotherapy,4 years,null,Full Time,6.5,31-Jul-21,INR 21.9 L/Yr
1667465646-192,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Bachelor of Science [B.S] Radiation Therapy,4 years,null,Full Time,6.5,31-Jul-21,INR 19.9 L/Yr
1667465646-193,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Doctor of Philosophy [Ph.D] Irish School of Ecumenics,4 years,null,Full Time,null,31-Jul-21,INR 7.5 L/Yr
1667465646-194,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Doctor of Philosophy [Ph.D] Political Science,4 years,null,Full Time,null,01-Feb-21,INR 14.8 L/Yr
1667465646-195,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master Medicine,1 year,null,Full Time,null,31-Jul-21,INR 18.8 L/Yr
1667465646-196,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Fine Arts [M.F.A] Playwriting,1 year,On Campus,Full Time,null,31-Jul-21,INR 9.7 L/Yr
1667465646-197,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master Social Work,2 years,null,Full Time,null,31-Jul-21,INR 16.2 L/Yr
1667465646-198,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Education [M.Ed] Education,1 year,null,Full Time,null,31-Jul-21,INR 10.4 L/Yr
1667465646-199,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Education [M.Ed] Leadership and Management in Education,1 year,null,Full Time,null,31-Jul-21,INR 10.4 L/Yr
1667465646-200,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Education [M.Ed] Positive Behaviour Management Specialism,1 year,null,Full Time,null,31-Jul-21,INR 10.4 L/Yr
1667465646-201,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Education [M.Ed] Special Educational Needs Specialism,1 year,null,Full Time,null,31-Jul-21,INR 10.4 L/Yr
1667465646-202,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Laws [L.L.M] International and Comparative Law,1 year,null,Full Time,null,31-May-21,INR 16.9 L/Yr
1667465646-203,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Laws [L.L.M] International and European Business Law,1 year,null,Full Time,null,31-May-21,INR 16.9 L/Yr
1667465646-204,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Laws [L.L.M] Intellectual Property and Information Technology Law,1 year,null,Full Time,null,31-May-21,INR 16.9 L/Yr
1667465646-205,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] Art History,1 year,null,Full Time,null,31-May-21,INR 12.9 L/Yr
1667465646-206,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] Comparative Literature,1 year,null,Full Time,null,31-Jul-21,INR 16.9 L/Yr
1667465646-207,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] English Language Teaching,1 year,null,Full Time,null,31-Jul-21,INR 16.9 L/Yr
1667465646-208,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] Film Studies - Theory History Practice,1 year,null,Full Time,null,31-Jul-21,INR 16.9 L/Yr
1667465646-209,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] International History,1 year,null,Full Time,null,31-May-21,INR 16.9 L/Yr
1667465646-210,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] Music Composition,1 year,null,Full Time,null,null,INR 16.9 L/Yr
1667465646-211,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] Public History and Cultural Heritage,1 year,null,Full Time,null,31-May-21,INR 16.9 L/Yr
1667465646-212,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Social Work[M.S.W],2 years,null,Full Time,null,05-Apr-21,INR 16.9 L/Yr
1667465646-213,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] Speech and Language Processing,1 year,null,Full Time,null,31-Jul-21,INR 10.4 L/Yr
1667465646-214,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] Textual and Visual Studies,1 year,null,Full Time,null,31-Jul-21,INR 10.4 L/Yr
1667465646-215,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Philosophy [M.Phil] Theatre and Performance,1 year,null,Full Time,null,31-Jul-21,INR 16.2 L/Yr
1667465646-216,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Addiction Recovery,1 year,null,Full Time,null,31-Jul-21,INR 14.2 L/Yr
1667465646-217,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Applied Social Research,1 year,null,Full Time,null,31-Jul-21,INR 19.6 L/Yr
1667465646-218,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Biodiversity and Conservation,1 year,null,Full Time,null,31-Jul-21,INR 20 L/Yr
1667465646-219,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Child Protection and Welfare,1 year,null,Full Time,null,31-Jul-21,INR 20 L/Yr
1667465646-220,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Community Health,1 year,null,Full Time,null,31-Jul-21,INR 20 L/Yr
1667465646-221,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Digital Marketing Strategy,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-222,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Engineering (Environmental / Structural and Geotechnical / Transport),1 year,null,Full Time,null,31-Jul-21,INR 20 L/Yr
1667465646-223,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Entrepreneurship,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-224,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Environmental Sciences,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-225,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Global Health,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-226,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Healthcare Infection Management,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-227,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.S] Human Resource Management,1 year,On Campus,Full Time,6.5,14-May-22,INR 16.6 L/Yr
1667465646-228,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Immunology,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-229,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Interactive Digital Media,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-230,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] International Management,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-231,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Mental Health,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-232,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Molecular Medicine,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-233,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Nursing,1 year,null,Full Time,null,31-Jul-21,INR 17.3 L/Yr
1667465646-234,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Operations and Supply Chain Management,1 year,null,Full Time,null,31-Jul-21,INR 16.6 L/Yr
1667465646-235,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Pharmaceutical Sciences,1 year,null,Full Time,null,31-Jul-21,INR 16.3 L/Yr
1667465646-236,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Master of Science [M.Sc] Sports and Exercise Medicine,1 year,null,Full Time,null,31-Jul-21,INR 21.3 L/Yr
1667465646-237,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Post-Graduate Diploma Accounting,1 year,null,Full Time,null,31-Jul-21,INR 1.3 Cr/Yr
1667465646-238,https://collegedunia.com/ireland/college/729-trinity-college-dublin-dublin/programs#,Post-Graduate Diploma Children's Nursing (H.Dip.),1 year,On Campus,Full Time,null,31-Jul-21,INR 8.9 L/Yr
