web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667466776-617","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Economics or Finance","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-618","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Philosophy, Politics and Economics","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-619","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Finance","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-620","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor BCL (Law and Arts)","3 years","null","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-621","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Community And Youth Work","3 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-622","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Education (Gaeltacht)","4 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-623","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Entrepreneurship","3 years","null","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-624","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Equine Business","3 years","null","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-625","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor International Business","3 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-626","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Law (BCL) and Arts","3 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-627","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Law and Criminology","4 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-628","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Marketing","3 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-629","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Music","3 years","Honours","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-630","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Arts [B.A] Arts (OPC)","3 years","null","Full Time","6.5","30 Jul, 2022","INR 11.1 L/Yr"
"1667466776-631","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Arts [B.A] Finance","3 years","null","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-632","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Arts [B.A] International Finance And Economics","4 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-633","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Arts [B.A] Media Studies","3 years","null","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-634","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Arts [B.A] Media Technology","3 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-635","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Arts [B.A] Music Technology","3 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-636","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Arts [B.A] Sociology","3 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-637","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Engineering [B.Eng] Electronic Engineering","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-638","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Laws [L.L.B] Laws","4 years","null","Full Time","6.5","null","INR 11.1 L/Yr"
"1667466776-639","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Biological and Biomedical Sciences","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-640","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Biotechnology","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-641","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Computational Thinking","3 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-642","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Multimedia, Mobile and Web Development (Arts) (Mwa)","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-643","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Pharmaceutical and Biomedical Chemistry","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-644","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Physics with Astrophysics","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-645","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Science","4 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-646","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Social Science","3 years","null","Full Time","6.5","31 Jul, 2022","INR 11.1 L/Yr"
"1667466776-647","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor of Science [B.S] Theoretical Physics with Mathematics","3 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-648","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Adult and Community Education","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-649","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Anthropology","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-650","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Applied Social Studies","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-651","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Biology","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-652","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Chemistry","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-653","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Classics","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-654","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] Education","3 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-655","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Doctor of Philosophy [Ph.D] National Institute for Regional & Spatial Analysis (NIRSA)","4 years","null","Full Time","6.5","null","INR 12.4 L/Yr"
"1667466776-656","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Accounting","2 years","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-657","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Anthropology And Development","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-658","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Classical Studies","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-659","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Comparative Criminology and Criminal Justice","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-660","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Critical and Creative Media","2 years","null","Full Time","6.5","31 Jul, 2022","null"
"1667466776-661","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Literatures Of Engagement","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-662","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Mediation And Conflict Intervention","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-663","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Music Composition","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-664","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Musicology","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-665","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Performance and Musicology","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-666","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Philosophy","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-667","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Philosophy of Religion","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-668","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Spanish and Latin American Studies","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-669","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Education [M.Ed] Adult and Community Education","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-670","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Education [M.Ed] Education","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-671","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Laws [L.L.M] Global Legal Studies","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-672","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Laws [L.L.M] International Business Law","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-673","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Laws [L.L.M] International Justice","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-674","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Biology","2 years","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-675","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Design Innovation","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-676","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Geographical Information Systems and Remote Sensing","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-677","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] IT-Enabled Innovation","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-678","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Mathematical Science","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-679","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.Sc] Strategy and Innovation","1 year","null","Full Time","6.5","31 Jul, 2022","INR 12 L/Yr"
"1667466776-680","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Bachelor Business and Management","3 years","On Campus","Full Time","6.5","01 Jul, 2021","INR 11.1 L/Yr"
"1667466776-681","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] International Peace Building, Security and Development Practice","14 months","null","Full Time","6.5","31 Jul, 2022","INR 12.4 L/Yr"
"1667466776-682","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Arts [M.A] Linguistic Anthropology","1 year","On Campus","Full Time","6.5","31 Jul, 2022","null"
"1667466776-683","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Engineering [M.Eng] Digital and Medical Technologies","1 year","null","Full Time","6.5","31 Jul, 2022","INR 13.8 L/Yr"
"1667466776-684","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.S] Economics","2 years","On Campus","Full Time","6.5","31 Jul, 2022","null"
"1667466776-685","https://collegedunia.com/ireland/college/732-maynooth-university-maynooth/programs#","Master of Science [M.S] Psychology","1 year","On Campus","Full Time","6.5","31 Jul, 2022","null"
