web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667466172-261","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Biological and Biomolecular Science","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-262","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Critical Care Nursing","1 year","On Campus","Full Time","null","null","INR 9.8 L/Yr"
"1667466172-263","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Business/Bachelor of Commerce Degree Course","4 years","Honours","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-264","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Energy Systems Engineering","3 years","null","Full Time","null","15 Jul, 2023","null"
"1667466172-265","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Medicine","6 years","Honours","Full Time","null","15 Jul, 2023","INR 46 L/Yr"
"1667466172-266","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Psychology","3 years","Honours","Full Time","null","15 Jul, 2023","INR 16 L/Yr"
"1667466172-267","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Biomedical, Health & Life Sciences","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-268","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Mechanical Engineering","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-269","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Microbiology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-270","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Civil, Structural and Environmental Engineering","2 years","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-271","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Engineering [M.Eng] Biopharmaceutical Engineering","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-272","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Business Analytics","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-273","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] International Law and Business","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-274","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Management Consultancy","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-275","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Social Data Analytics","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-276","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Supply Chain Management","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-277","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.S] Marketing","1 year","On Campus","Full Time","7","null","INR 17.6 L/Yr"
"1667466172-278","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Agricultural Science Agri-Environmental Sciences","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-279","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Geography","3 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-280","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] German","3 years","null","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-281","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Information & Social Computing","3 years","Honours","Full Time","null","15 Jul, 2023","INR 16 L/Yr"
"1667466172-282","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Biology & Mathematics Education & MSc","5 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-283","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Economics & Finance","3 years","Honours","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-284","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Landscape Architecture","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-285","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Nursing (Children's & General)","54 months","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-286","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Nursing (General)","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-287","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master EngSc in Engineering Management","1 year","null","Full Time","null","null","INR 21.9 L/Yr"
"1667466172-288","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Public Health (Nutrition)","1 year","null","Full Time","null","null","null"
"1667466172-289","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Laws [L.L.M] International Human Rights","1 year","null","Full Time","null","null","INR 16.9 L/Yr"
"1667466172-290","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Biotherapeutics","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-291","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Chemistry","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-292","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Digital Innovation","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-293","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Forensic Computing & Cybercrime Investigation","1 year","null","Full Time","null","null","INR 4.1 L/Yr"
"1667466172-294","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.S] Human Resource Management","1 year","On Campus","Full Time","6.5","null","INR 19.1 L/Yr"
"1667466172-295","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Mathematical Science","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-296","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Nursing","1 year","null","Full Time","null","null","INR 19.3 L/Yr"
"1667466172-297","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Physics By Negotiated Learning (PNL)","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-298","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Science [M.Sc] Synthetic Chemistry","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-299","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Agricultural Science","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-300","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Agricultural Science Animal & Crop Production","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-301","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Agricultural Science Animal Science","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-302","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Agricultural Science Dairy Business","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-303","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Agricultural Science Food & Agribusiness Management","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-304","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Agricultural Systems Technology","4 years","null","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-305","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Animal Science - Equine","4 years","null","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-306","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Business/Bachelor of Commerce International Degree Course","4 years","Honours","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-307","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Forestry","4 years","null","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-308","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Horticulture, Landscape and Sportsturf Management","4 years","null","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-309","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor Social Policy and Sociology","3 years","null","Full Time","null","15 Jul, 2023","null"
"1667466172-310","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Archaeology","3 years","Honours","Full Time","null","15 Jul, 2023","INR 16 L/Yr"
"1667466172-311","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Art History","3 years","null","Full Time","null","15 Jul, 2023","null"
"1667466172-312","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Celtic Civilisation","3 years","Honours","Full Time","null","15 Jul, 2023","null"
"1667466172-313","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Classics","3 years","null","Full Time","null","15 Jul, 2023","null"
"1667466172-314","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Economics","3 years","Honours","Full Time","null","15 Jul, 2023","INR 16 L/Yr"
"1667466172-315","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] English","3 years","null","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-316","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] English, Drama and Film","3 years","null","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-317","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] French","3 years","null","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-318","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] History","3 years","null","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-319","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Italian","3 years","null","Full Time","null","15 Jul, 2023","null"
"1667466172-320","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Linguistics","3 years","null","Full Time","null","15 Jul, 2023","null"
"1667466172-321","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Music / BMus","3 years","Honours","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-322","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Philosophy","3 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-323","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Planning, Geography & Environment","3 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-324","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Sociology","3 years","Honours","Full Time","null","15 Jul, 2023","INR 16 L/Yr"
"1667466172-325","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Spanish","3 years","Honours","Full Time","null","15 Jul, 2023","null"
"1667466172-326","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Arts [B.A] Statistics","3 years","Honours","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-327","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Engineering [B.Eng] Chemical & Bioprocess Engineering","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-328","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Laws [L.L.B] Business & Law","4 years","Honours","Full Time","null","15 Jul, 2023","INR 16.9 L/Yr"
"1667466172-329","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Applied & Computational Mathematics","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-330","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Applied Mathematics & Mathematics Education / MSc","5 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-331","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Architecture / MArch Architecture","5 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-332","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Biochemistry & Molecular Biology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-333","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Biomedical Engineering / ME","4 years","null","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-334","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Cell & Molecular Biology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-335","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Chemistry","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-336","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Engineering / ME","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-337","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Environmental Biology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-338","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Financial Mathematics","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-339","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Food Science","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-340","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Genetics","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-341","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Health and Performance Science","3 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-342","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Human Nutrition","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-343","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Mathematical Science","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-344","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Medicinal Chemistry & Chemical Biology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-345","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Neuroscience","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-346","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Pharmacology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-347","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Physics","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-348","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Physics & Mathematics Education / MSc","5 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-349","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Physiology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-350","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Physiotherapy","4 years","Honours","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-351","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Plant Biology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-352","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Radiography","4 years","Honours","Full Time","null","15 Jul, 2023","INR 26.7 L/Yr"
"1667466172-353","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Social Science","3 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-354","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Structural Engineering with Architecture","5 years","null","Full Time","null","15 Jul, 2023","INR 21.9 L/Yr"
"1667466172-355","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Veterinary Nursing","4 years","Honours","Full Time","null","15 Jul, 2023","INR 2.8 L/Yr"
"1667466172-356","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Bachelor of Science [B.S] Zoology","4 years","Honours","Full Time","null","15 Jul, 2023","INR 20.7 L/Yr"
"1667466172-357","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Doctor of Philosophy [Ph.D] Global Human Development","3 years","null","Full Time","null","null","null"
"1667466172-358","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Doctor of Philosophy [Ph.D] Law","4 years","null","Full Time","null","null","INR 10.3 L/Yr"
"1667466172-359","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Doctor of Philosophy [Ph.D] Politics and International Relations","3 years","null","Full Time","null","null","INR 10.7 L/Yr"
"1667466172-360","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Accounting","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-361","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Biosystems and Food Engineering","2 years","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-362","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master EngSc in Materials Science and Engineering","1 year","null","Full Time","null","null","INR 21.9 L/Yr"
"1667466172-363","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master European Public Affairs and Law","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-364","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Intellectual Property and Information Technology","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-365","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Landscape Studies","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-366","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Library and Information Studies","1 year","null","Full Time","null","null","INR 17.2 L/Yr"
"1667466172-367","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Materials Science and Engineering","2 years","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-368","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Psychological Science","1 year","null","Full Time","null","null","INR 18.7 L/Yr"
"1667466172-369","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Regional and Urban Planning","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-370","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Social Work","2 years","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-371","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master Water, Waste and Environmental Engineering","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-372","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Applied Linguistics","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-373","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Archaeology","1 year","null","Full Time","null","null","INR 16.9 L/Yr"
"1667466172-374","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Art History, Collections and Curating","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-375","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Educational Psychology","2 years","null","Full Time","null","null","null"
"1667466172-376","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] History","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-377","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Information Studies","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-378","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] International War Studies","2 years","null","Full Time","null","null","INR 8.9 L/Yr"
"1667466172-379","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Mathematics","16 months","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-380","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Philosophy","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-381","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Theatre Practice","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-382","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Arts [M.A] Writing for Theatre","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-383","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Engineering [M.Eng] Chemical Engineering","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-384","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Engineering [M.Eng] Engineering Management","1 year","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-385","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Engineering [M.Eng] Engineering with Business","2 years","null","Full Time","null","null","INR 22.9 L/Yr"
"1667466172-386","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Engineering [M.Eng] Food Engineering (MEngSc)","1 year","null","Full Time","null","null","INR 21.9 L/Yr"
"1667466172-387","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Laws [L.L.M] European Law and Public Affairs","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-388","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Laws [L.L.M] International Commercial Law","1 year","null","Full Time","null","null","INR 16.9 L/Yr"
"1667466172-389","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Laws [L.L.M] International Financial Services Law","1 year","null","Full Time","null","null","null"
"1667466172-390","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Laws [L.L.M] Law","1 year","null","Full Time","null","null","INR 17.7 L/Yr"
"1667466172-391","https://collegedunia.com/ireland/college/724-university-college-dublin-belfield/programs#","Master of Philosophy [M.Phil] Business","2 years","null","Full Time","null","null","INR 10.7 L/Yr"
