web-scraper-order,web-scraper-start-url,course_name,course_duration,type_of_study,part_time_full_time,ielts_score,application_deadline,fees
"1667467798-932","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Economics & Finance","4 years","Honours","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-933","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Engineering(B.Eng) Electrical & Control Engineering","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-934","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Electrical Services & Energy Management","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-935","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Environmental health","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-936","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts (B.a) Film & Broadcasting","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-937","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Post-Graduate Diploma Finance","1 year","On Campus","Full Time","6","30 Jun, 2022","INR 6.1 L/Yr"
"1667467798-938","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts (B.a) Game Design","4 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-939","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts (B.a) Hospitality Management","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-940","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science (B.sc) Human Resource Management","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-941","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts (B.a) Interior design","4 years","On Campus","Full Time","null","null","INR 4.4 L/Yr"
"1667467798-942","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Business(bbus) International Business","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-943","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts (B.a) International Hospitalitu and Tourism","4 years","On Campus","Full Time","null","null","INR 4.4 L/Yr"
"1667467798-944","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts (B.a) Journalism","4 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-945","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Law(LLB)","3 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-946","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Logistics and Supply Chain Management","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-947","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Business(bbus) Management","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-948","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Engineering(B.Eng) Mechanical Engeering","3 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-949","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Pharmaceutical Science","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-950","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Arts (B.a) Photography","4 years","On Campus","Full Time","null","null","INR 4.4 L/Yr"
"1667467798-951","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Physics Technology","4 years","Honours, On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
"1667467798-952","https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/programs#","Bachelor of Science [B.S] Tourism Management","4 years","On Campus","Full Time","6","01 May, 2022","INR 4.4 L/Yr"
