Logical_quotient_rating,i_get_stressed_out_easily,coding_skills_rating,public_speaking_points,i_am_always_prepared,i_follow_a_schedule,i_am_quick_to_understand_things,i_am_full_of_ideas,i_start_conversations,do_you_like_sports,entrepreneurial_mindset,tendency_to_worry,self_learning_capability,Extra_courses_did,Taken_inputs_from_seniors_or_elders,reading_and _writing_skills,memory_capability_score,interested_career_area ,Type_of_company_want_to_settle_in,Interested_Type_of_Books,Non_Technical_or_Technical,hard_smart_worker,worked_in_teams_ever,Introvert,Suggested_Job_Role
7,8,0,2,2,0,8,4,2,yes,no,no,yes,no,no,poor,medium,system developer,Cloud Services,Cookbooks,Technical,smart worker,no,yes,Applications Developer
1,8,2,5,8,4,7,5,4,no,no,yes,no,no,yes,poor,medium,system developer,Testing and Maintainance Services,Science,Technical,hard worker,no,yes,Applications Developer
9,5,6,0,0,0,4,2,0,yes,no,yes,yes,yes,no,medium,poor,developer,Service Based,Health,Non Technical,hard worker,yes,no,Applications Developer
2,6,6,2,0,3,4,0,0,no,no,no,yes,no,no,medium,poor,system developer,Product based,Poetry,Non Technical,smart worker,no,no,Applications Developer
3,7,1,1,9,4,0,4,6,no,no,no,yes,no,yes,medium,poor,developer,product development,Self help,Non Technical,hard worker,yes,no,Applications Developer
5,7,5,6,2,7,9,3,3,no,yes,no,yes,no,yes,poor,excellent,developer,Web Services,Health,Technical,smart worker,no,yes,Applications Developer
0,8,3,1,9,3,5,9,4,no,no,yes,yes,yes,yes,poor,poor,system developer,product development,Horror,Technical,hard worker,yes,no,Applications Developer
3,9,7,8,5,1,3,1,0,yes,yes,yes,no,yes,yes,poor,excellent,testing,SAaS services,Satire,Non Technical,hard worker,yes,no,Applications Developer
1,1,9,4,7,4,2,0,3,no,no,yes,no,no,no,medium,excellent,security,product development,Anthology,Technical,hard worker,no,yes,Applications Developer
5,1,1,1,4,4,4,2,3,yes,yes,no,yes,yes,no,excellent,medium,cloud computing,Testing and Maintainance Services,Self help,Non Technical,smart worker,yes,yes,Applications Developer
8,2,1,2,4,4,1,5,1,no,no,no,no,yes,no,excellent,excellent,Business process analyst,Finance,History,Non Technical,hard worker,yes,yes,Applications Developer
1,0,5,4,7,2,7,8,3,no,no,yes,yes,yes,yes,poor,medium,testing,product development,Satire,Technical,hard worker,yes,no,Applications Developer
9,5,5,2,6,4,7,2,5,no,yes,no,no,no,no,medium,medium,Business process analyst,Product based,Action and Adventure,Technical,smart worker,no,yes,Applications Developer
3,0,9,4,6,3,5,2,6,no,no,no,yes,no,no,poor,poor,Business process analyst,BPA,Fantasy,Technical,hard worker,yes,yes,Applications Developer
7,0,6,8,7,2,6,1,4,yes,no,yes,no,no,yes,poor,excellent,security,SAaS services,Health,Non Technical,smart worker,yes,no,Applications Developer
1,4,1,9,9,7,8,7,4,yes,no,yes,yes,yes,no,excellent,excellent,security,Testing and Maintainance Services,Health,Technical,hard worker,yes,no,Applications Developer
8,8,6,2,1,0,9,2,6,no,no,no,no,no,no,medium,poor,developer,Finance,Romance,Technical,hard worker,no,no,Applications Developer
9,9,5,4,9,3,1,9,8,yes,yes,no,yes,no,no,medium,excellent,cloud computing,Product based,Romance,Non Technical,smart worker,no,yes,Applications Developer
9,1,3,6,0,8,3,2,3,yes,yes,yes,no,no,yes,medium,medium,cloud computing,product development,Drama,Technical,hard worker,yes,no,Applications Developer
8,9,2,8,7,8,1,5,5,yes,yes,no,yes,yes,no,excellent,poor,system developer,Finance,Biographies,Technical,smart worker,yes,no,Applications Developer
5,4,0,2,1,8,3,0,4,no,yes,no,yes,yes,yes,medium,excellent,cloud computing,Sales and Marketing,Horror,Technical,hard worker,no,yes,Applications Developer
9,7,9,6,4,2,8,5,4,no,yes,yes,yes,yes,no,medium,medium,cloud computing,Finance,Health,Non Technical,hard worker,yes,no,Applications Developer
2,1,6,0,1,3,9,7,5,yes,no,no,no,no,yes,excellent,poor,cloud computing,BPA,Science,Technical,smart worker,yes,no,Applications Developer
6,7,8,5,2,1,3,3,2,yes,yes,yes,yes,no,yes,poor,poor,Business process analyst,Testing and Maintainance Services,Diaries,Non Technical,smart worker,no,yes,Applications Developer
2,2,3,1,9,5,8,3,8,no,yes,yes,yes,no,yes,excellent,poor,security,Finance,Autobiographies,Non Technical,hard worker,yes,no,Applications Developer
3,7,2,6,4,9,6,8,4,yes,no,yes,yes,yes,yes,medium,poor,testing,Product based,Self help,Technical,hard worker,yes,no,Applications Developer
4,2,4,8,8,0,1,3,7,no,no,no,yes,no,no,poor,excellent,cloud computing,Web Services,Series,Technical,smart worker,yes,yes,Applications Developer
6,7,1,2,7,4,0,7,8,yes,yes,no,no,no,yes,medium,excellent,security,Testing and Maintainance Services,Poetry,Technical,hard worker,yes,no,Applications Developer
0,8,3,9,6,0,2,5,8,no,yes,yes,yes,yes,yes,medium,excellent,system developer,Sales and Marketing,Mystery,Technical,smart worker,no,no,Applications Developer
5,1,6,8,9,0,1,3,6,no,yes,no,no,no,yes,excellent,medium,security,Cloud Services,Science fiction,Technical,smart worker,yes,yes,Applications Developer
0,9,3,3,7,2,8,1,6,no,yes,no,no,yes,no,poor,medium,developer,Product based,Prayer books,Non Technical,hard worker,no,no,Applications Developer
5,6,9,5,5,6,3,8,4,yes,no,no,no,no,no,excellent,excellent,testing,Web Services,Series,Non Technical,hard worker,no,yes,Applications Developer
3,4,3,4,8,0,2,1,4,no,yes,yes,yes,no,yes,medium,medium,Business process analyst,Product based,Travel,Technical,smart worker,yes,no,Applications Developer
4,4,9,1,4,9,0,0,9,yes,no,yes,no,yes,yes,poor,excellent,security,Product based,Horror,Non Technical,smart worker,no,no,Applications Developer
6,8,1,0,3,5,7,3,3,no,yes,no,no,no,no,medium,excellent,developer,SAaS services,Series,Technical,hard worker,no,no,Applications Developer
6,9,9,1,0,5,2,7,5,no,no,yes,no,yes,yes,excellent,poor,cloud computing,Finance,Cookbooks,Technical,smart worker,no,no,Applications Developer
7,4,5,2,4,7,1,8,2,yes,no,yes,yes,no,yes,excellent,excellent,cloud computing,Testing and Maintainance Services,Trilogy,Non Technical,smart worker,yes,no,Applications Developer
0,1,0,2,8,0,2,3,5,no,no,yes,yes,no,yes,poor,poor,developer,SAaS services,Religion-Spirituality,Non Technical,smart worker,no,yes,Applications Developer
0,7,2,8,4,2,0,4,6,yes,no,no,no,yes,no,excellent,medium,system developer,Finance,Horror,Technical,smart worker,no,no,Applications Developer
2,4,2,0,1,7,4,5,5,yes,no,no,yes,no,no,excellent,excellent,Business process analyst,BPA,Biographies,Non Technical,smart worker,no,no,Applications Developer
9,6,3,1,9,5,7,6,9,no,yes,no,no,no,yes,poor,medium,developer,Sales and Marketing,Trilogy,Technical,smart worker,yes,yes,Applications Developer
2,1,8,6,4,2,0,0,9,yes,no,yes,no,yes,no,poor,excellent,cloud computing,Product based,Biographies,Non Technical,hard worker,yes,yes,Applications Developer
6,6,0,8,0,7,0,4,5,no,yes,yes,no,no,yes,poor,excellent,cloud computing,product development,Health,Technical,hard worker,yes,yes,Applications Developer
8,1,2,3,1,2,3,6,6,no,yes,yes,yes,yes,no,medium,excellent,cloud computing,product development,Science fiction,Technical,smart worker,no,yes,Applications Developer
5,0,0,1,0,8,2,0,0,yes,no,yes,no,yes,yes,medium,poor,developer,Service Based,Mystery,Non Technical,smart worker,no,no,Applications Developer
3,1,3,7,7,8,3,2,7,yes,yes,no,no,no,no,medium,poor,developer,Web Services,Mystery,Technical,hard worker,no,yes,Applications Developer
1,2,6,0,8,4,8,5,4,no,no,no,no,yes,no,excellent,medium,developer,Service Based,Anthology,Technical,smart worker,no,no,Applications Developer
8,7,0,5,8,8,6,7,9,no,yes,no,yes,no,yes,excellent,medium,system developer,Finance,Health,Technical,smart worker,no,no,Applications Developer
7,9,8,2,5,3,5,9,5,no,no,no,yes,no,yes,poor,medium,cloud computing,Web Services,Health,Non Technical,hard worker,yes,yes,Applications Developer
1,3,9,3,5,8,6,5,7,yes,yes,no,no,no,yes,poor,excellent,Business process analyst,Service Based,Action and Adventure,Technical,hard worker,yes,no,Applications Developer
7,7,3,9,6,5,4,3,1,yes,yes,yes,yes,no,yes,excellent,poor,developer,Sales and Marketing,Guide,Non Technical,smart worker,yes,no,Applications Developer
2,1,2,0,5,8,2,0,1,yes,yes,no,no,yes,no,poor,poor,security,BPA,Diaries,Technical,smart worker,yes,no,Applications Developer
5,5,3,5,8,1,7,5,6,yes,no,no,yes,no,yes,medium,poor,testing,Service Based,Cookbooks,Technical,smart worker,no,yes,Applications Developer
2,9,0,1,9,7,6,8,1,yes,yes,yes,no,yes,yes,medium,poor,security,Finance,Biographies,Non Technical,smart worker,yes,yes,Applications Developer
2,3,7,6,3,2,4,1,0,no,no,yes,yes,no,no,excellent,excellent,system developer,Web Services,Drama,Non Technical,hard worker,yes,no,Applications Developer
9,2,0,0,5,3,4,2,3,yes,yes,no,no,yes,yes,excellent,medium,cloud computing,Sales and Marketing,Math,Technical,smart worker,yes,yes,Applications Developer
2,4,7,5,6,6,0,3,4,no,no,yes,yes,yes,yes,poor,poor,system developer,SAaS services,Guide,Technical,smart worker,yes,no,Applications Developer
2,5,7,8,2,7,7,8,1,yes,yes,no,yes,yes,yes,excellent,excellent,Business process analyst,Cloud Services,Romance,Technical,hard worker,yes,no,Applications Developer
0,0,5,3,3,0,4,4,6,no,no,yes,yes,no,no,medium,excellent,testing,Finance,Biographies,Technical,hard worker,yes,no,Applications Developer
7,9,1,0,7,2,8,6,5,no,no,yes,no,yes,no,medium,excellent,system developer,Web Services,Poetry,Non Technical,smart worker,no,yes,Applications Developer
0,9,4,6,5,1,3,0,1,yes,no,yes,yes,yes,no,excellent,poor,system developer,product development,Romance,Technical,hard worker,no,no,Applications Developer
2,3,6,9,9,6,8,3,2,no,yes,no,yes,no,yes,poor,excellent,cloud computing,Cloud Services,Guide,Technical,smart worker,no,no,Applications Developer
6,1,2,5,7,9,7,9,2,yes,yes,yes,no,yes,no,medium,poor,testing,Finance,Guide,Technical,smart worker,no,no,Applications Developer
3,3,5,7,5,7,1,0,7,no,yes,no,no,no,yes,medium,excellent,developer,SAaS services,Encyclopedias,Technical,hard worker,yes,no,Applications Developer
0,2,7,7,4,5,1,8,3,no,yes,no,yes,yes,no,excellent,medium,Business process analyst,Cloud Services,Math,Technical,hard worker,yes,no,Applications Developer
6,0,8,2,2,9,3,9,3,yes,no,yes,no,yes,yes,excellent,medium,developer,Sales and Marketing,Religion-Spirituality,Non Technical,hard worker,yes,no,Applications Developer
3,5,2,9,2,5,0,1,0,yes,no,no,yes,yes,no,excellent,excellent,developer,Cloud Services,Autobiographies,Non Technical,hard worker,no,no,Applications Developer
4,8,0,7,0,2,7,6,3,yes,no,no,yes,yes,yes,poor,poor,Business process analyst,BPA,Dictionaries,Technical,hard worker,yes,no,Applications Developer
8,5,0,9,3,2,1,6,4,yes,no,yes,no,no,no,medium,excellent,Business process analyst,Cloud Services,Encyclopedias,Technical,hard worker,yes,yes,Applications Developer
9,3,8,8,0,6,8,4,6,no,no,yes,no,no,no,poor,medium,testing,Service Based,Biographies,Non Technical,hard worker,yes,yes,Applications Developer
4,4,9,0,5,8,2,7,9,no,no,yes,yes,no,yes,poor,medium,system developer,Web Services,Math,Non Technical,hard worker,no,no,Applications Developer
9,2,8,9,7,5,3,3,4,yes,no,yes,yes,no,no,medium,excellent,security,Product based,Fantasy,Non Technical,smart worker,no,no,Applications Developer
5,6,4,8,1,7,6,1,8,yes,no,no,no,yes,no,poor,medium,Business process analyst,Testing and Maintainance Services,Mystery,Non Technical,hard worker,yes,no,Applications Developer
1,2,3,9,0,0,0,3,2,no,yes,no,no,no,yes,excellent,medium,Business process analyst,Sales and Marketing,Trilogy,Non Technical,hard worker,no,yes,Applications Developer
