,Logical_quotient_rating,i_get_stressed_out_easily,coding_skills_rating,public_speaking_points,i_am_always_prepared,i_follow_a_schedule,i_am_quick_to_understand_things,i_am_full_of_ideas,i_start_conversations,do_you_like_sports,entrepreneurial_mindset,tendency_to_worry,self_learning_capability,Extra_courses_did,Taken_inputs_from_seniors_or_elders,reading_and_writing_skills,memory_capability_score,worked_in_teams_ever,Introvert,Suggested_Job_Role,B_hard worker,B_smart worker
120,9,1,3,6,0,8,3,2,3,1,1,1,0,0,1,1,1,1,0,Software Engineer,1,0
121,8,9,2,8,7,8,1,5,5,1,1,0,1,1,0,2,0,1,0,Software Engineer,0,1
122,5,4,0,2,1,8,3,0,4,0,1,0,1,1,1,1,2,0,1,Software Engineer,1,0
123,9,7,9,6,4,2,8,5,4,0,1,1,1,1,0,1,1,1,0,Software Engineer,1,0
124,2,1,6,0,1,3,9,7,5,1,0,0,0,0,1,2,0,1,0,Software Engineer,0,1
125,6,7,8,5,2,1,3,3,2,1,1,1,1,0,1,0,0,0,1,Software Engineer,0,1
126,2,2,3,1,9,5,8,3,8,0,1,1,1,0,1,2,0,1,0,Software Engineer,1,0
127,3,7,2,6,4,9,6,8,4,1,0,1,1,1,1,1,0,1,0,Software Engineer,1,0
128,4,2,4,8,8,0,1,3,7,0,0,0,1,0,0,0,2,1,1,Software Engineer,0,1
129,6,7,1,2,7,4,0,7,8,1,1,0,0,0,1,1,2,1,0,Software Engineer,1,0
130,0,8,3,9,6,0,2,5,8,0,1,1,1,1,1,1,2,0,0,Software Engineer,0,1
131,5,1,6,8,9,0,1,3,6,0,1,0,0,0,1,2,1,1,1,Software Engineer,0,1
132,0,9,3,3,7,2,8,1,6,0,1,0,0,1,0,0,1,0,0,Software Engineer,1,0
133,5,6,9,5,5,6,3,8,4,1,0,0,0,0,0,2,2,0,1,Software Engineer,1,0
134,3,4,3,4,8,0,2,1,4,0,1,1,1,0,1,1,1,1,0,Software Engineer,0,1
135,4,4,9,1,4,9,0,0,9,1,0,1,0,1,1,0,2,0,0,Software Engineer,0,1
136,6,8,1,0,3,5,7,3,3,0,1,0,0,0,0,1,2,0,0,Software Engineer,1,0
137,6,9,9,1,0,5,2,7,5,0,0,1,0,1,1,2,0,0,0,Software Engineer,0,1
138,7,4,5,2,4,7,1,8,2,1,0,1,1,0,1,2,2,1,0,Software Engineer,0,1
139,0,1,0,2,8,0,2,3,5,0,0,1,1,0,1,0,0,0,1,Software Engineer,0,1
140,0,7,2,8,4,2,0,4,6,1,0,0,0,1,0,2,1,0,0,Software Engineer,0,1
141,2,4,2,0,1,7,4,5,5,1,0,0,1,0,0,2,2,0,0,Software Engineer,0,1
142,9,6,3,1,9,5,7,6,9,0,1,0,0,0,1,0,1,1,1,Software Engineer,0,1
143,2,1,8,6,4,2,0,0,9,1,0,1,0,1,0,0,2,1,1,Software Engineer,1,0
144,6,6,0,8,0,7,0,4,5,0,1,1,0,0,1,0,2,1,1,Software Engineer,1,0
145,8,1,2,3,1,2,3,6,6,0,1,1,1,1,0,1,2,0,1,Software Engineer,0,1
146,5,0,0,1,0,8,2,0,0,1,0,1,0,1,1,1,0,0,0,Software Engineer,0,1
147,3,1,3,7,7,8,3,2,7,1,1,0,0,0,0,1,0,0,1,Software Engineer,1,0
148,1,2,6,0,8,4,8,5,4,0,0,0,0,1,0,2,1,0,0,Software Engineer,0,1
149,8,7,0,5,8,8,6,7,9,0,1,0,1,0,1,2,1,0,0,Software Engineer,0,1
150,7,9,8,2,5,3,5,9,5,0,0,0,1,0,1,0,1,1,1,Software Engineer,1,0
151,1,3,9,3,5,8,6,5,7,1,1,0,0,0,1,0,2,1,0,Software Engineer,1,0
152,7,7,3,9,6,5,4,3,1,1,1,1,1,0,1,2,0,1,0,Software Engineer,0,1
153,2,1,2,0,5,8,2,0,1,1,1,0,0,1,0,0,0,1,0,Software Engineer,0,1
154,5,5,3,5,8,1,7,5,6,1,0,0,1,0,1,1,0,0,1,Software Engineer,0,1
155,2,9,0,1,9,7,6,8,1,1,1,1,0,1,1,1,0,1,1,Software Engineer,0,1
156,2,3,7,6,3,2,4,1,0,0,0,1,1,0,0,2,2,1,0,Software Engineer,1,0
157,9,2,0,0,5,3,4,2,3,1,1,0,0,1,1,2,1,1,1,Software Engineer,0,1
158,2,4,7,5,6,6,0,3,4,0,0,1,1,1,1,0,0,1,0,Software Engineer,0,1
159,2,5,7,8,2,7,7,8,1,1,1,0,1,1,1,2,2,1,0,Software Engineer,1,0
160,0,0,5,3,3,0,4,4,6,0,0,1,1,0,0,1,2,1,0,Software Engineer,1,0
161,7,9,1,0,7,2,8,6,5,0,0,1,0,1,0,1,2,0,1,Software Engineer,0,1
162,0,9,4,6,5,1,3,0,1,1,0,1,1,1,0,2,0,0,0,Software Engineer,1,0
163,2,3,6,9,9,6,8,3,2,0,1,0,1,0,1,0,2,0,0,Software Engineer,0,1
164,6,1,2,5,7,9,7,9,2,1,1,1,0,1,0,1,0,0,0,Software Engineer,0,1
165,3,3,5,7,5,7,1,0,7,0,1,0,0,0,1,1,2,1,0,Software Engineer,1,0
166,0,2,7,7,4,5,1,8,3,0,1,0,1,1,0,2,1,1,0,Software Engineer,1,0
167,6,0,8,2,2,9,3,9,3,1,0,1,0,1,1,2,1,1,0,Software Engineer,1,0
168,3,5,2,9,2,5,0,1,0,1,0,0,1,1,0,2,2,0,0,Software Engineer,1,0
169,4,8,0,7,0,2,7,6,3,1,0,0,1,1,1,0,0,1,0,Software Engineer,1,0
170,8,5,0,9,3,2,1,6,4,1,0,1,0,0,0,1,2,1,1,Software Engineer,1,0
171,9,3,8,8,0,6,8,4,6,0,0,1,0,0,0,0,1,1,1,Software Engineer,1,0
172,4,4,9,0,5,8,2,7,9,0,0,1,1,0,1,0,1,0,0,Software Engineer,1,0
173,9,2,8,9,7,5,3,3,4,1,0,1,1,0,0,1,2,0,0,Software Engineer,0,1
174,5,6,4,8,1,7,6,1,8,1,0,0,0,1,0,0,1,1,0,Software Engineer,1,0
175,1,2,3,9,0,0,0,3,2,0,1,0,0,0,1,2,1,0,1,Software Engineer,1,0
176,2,7,7,0,3,9,8,1,7,1,1,0,0,0,1,1,0,1,0,Software Engineer,0,1
177,5,8,1,1,9,1,1,1,3,0,1,1,0,1,0,2,0,1,1,Software Engineer,1,0
178,8,4,2,7,5,0,1,2,9,1,0,1,0,1,1,0,0,0,1,Software Engineer,0,1
179,6,3,3,4,5,9,6,6,2,1,1,1,1,0,1,0,1,1,0,Software Engineer,0,1
180,9,7,1,2,7,7,2,4,3,0,0,0,0,0,0,2,0,1,1,Software Engineer,0,1
181,5,8,3,2,0,4,9,8,7,0,1,0,0,1,0,2,1,0,1,Software Engineer,1,0
182,3,6,3,2,1,7,2,4,8,0,0,1,1,1,0,1,2,0,0,Software Engineer,0,1
183,8,1,8,6,9,1,2,6,8,0,0,1,0,1,0,1,1,0,1,Software Engineer,0,1
184,7,0,3,4,2,5,3,8,2,1,1,0,0,1,1,0,0,1,0,Software Engineer,0,1
185,0,5,7,7,4,1,0,2,3,0,1,1,0,0,0,1,1,0,1,Software Engineer,1,0
186,3,6,3,5,1,8,9,2,7,1,0,1,1,0,0,1,1,1,1,Software Engineer,1,0
187,8,9,3,3,9,7,9,4,3,1,1,0,1,0,0,0,1,1,1,Software Engineer,0,1
188,0,0,5,8,5,3,8,8,0,1,1,0,1,0,1,1,0,0,1,Software Engineer,0,1
189,0,9,0,5,8,3,2,7,1,1,0,0,0,1,1,1,1,0,0,Software Engineer,1,0
190,2,3,2,9,3,4,4,3,0,0,0,0,1,1,1,1,1,1,1,Software Engineer,0,1
191,6,4,8,0,5,2,8,2,4,1,0,0,1,0,1,1,1,1,1,Software Engineer,1,0
192,5,6,5,6,4,5,1,4,8,0,1,0,1,1,1,0,1,1,1,Software Engineer,1,0
193,3,1,7,1,3,7,2,8,2,1,0,1,1,1,0,0,1,0,0,Software Engineer,0,1
194,0,1,7,0,7,1,6,8,6,1,1,1,1,1,1,0,0,0,0,Software Engineer,1,0
195,0,4,9,5,1,5,2,6,3,0,0,1,1,1,1,2,1,1,0,Software Engineer,0,1
196,9,8,5,1,5,8,6,4,6,0,0,1,0,1,0,1,0,1,1,Software Engineer,1,0
197,4,3,0,7,2,6,4,7,8,0,0,1,1,1,1,2,2,1,1,Software Engineer,0,1
198,8,4,0,6,5,3,0,9,8,0,1,0,0,1,0,1,2,0,0,Software Engineer,1,0
199,7,6,0,1,4,4,0,1,3,1,0,0,1,0,0,1,0,0,1,Software Engineer,1,0
200,7,1,6,7,5,6,7,8,2,1,1,1,1,1,0,0,1,0,1,Software Engineer,0,1
201,6,7,5,6,0,1,5,4,0,1,1,0,0,1,1,0,0,0,1,Software Engineer,0,1
202,2,0,3,1,6,7,6,8,5,1,1,0,0,1,0,0,0,1,1,Software Engineer,0,1
203,6,3,2,8,1,3,9,6,1,0,1,0,1,0,0,1,0,1,0,Software Engineer,1,0
204,6,5,5,4,6,9,3,6,4,1,0,1,0,1,1,2,1,1,0,Software Engineer,1,0
205,5,2,5,6,2,2,1,4,8,1,0,0,0,0,1,1,1,1,1,Software Engineer,1,0
206,7,0,1,5,5,5,1,0,7,0,1,0,1,1,1,1,0,1,0,Software Engineer,0,1
207,6,7,5,1,1,0,3,2,4,0,0,1,0,1,1,1,2,0,1,Software Engineer,0,1
208,8,3,4,2,1,1,4,5,7,0,1,1,0,1,0,2,1,1,0,Software Engineer,1,0
209,0,1,0,5,0,0,7,3,5,0,0,0,1,1,0,1,1,0,0,Software Engineer,1,0
210,7,2,7,9,9,1,4,0,6,0,0,0,0,0,0,0,2,0,1,Software Engineer,0,1
211,7,7,4,5,7,0,9,4,1,0,0,0,0,0,1,2,0,0,0,Software Engineer,0,1
212,2,9,9,2,1,0,5,8,6,1,0,0,0,0,0,0,1,1,1,Software Engineer,1,0
213,4,5,6,2,1,0,1,1,5,0,1,0,0,1,0,0,0,0,1,Software Engineer,0,1
214,7,4,2,1,4,1,3,3,8,1,1,0,1,1,1,2,2,1,0,Software Engineer,1,0
215,0,0,5,2,3,8,4,6,4,0,0,0,0,1,1,0,2,1,1,Software Engineer,0,1
216,5,6,5,5,7,6,0,3,7,0,0,0,1,0,0,1,1,0,1,Software Engineer,1,0
217,3,5,6,2,8,8,3,0,1,0,0,0,0,0,1,0,0,1,1,Software Engineer,0,1
218,0,9,2,3,1,8,4,0,4,1,0,0,0,1,1,2,2,0,0,Software Engineer,0,1
219,3,7,1,1,2,3,3,6,9,1,0,0,0,1,0,0,1,1,1,Software Engineer,1,0
220,6,1,1,8,0,1,6,7,4,1,0,0,0,0,1,1,2,0,0,Software Engineer,0,1
221,7,1,1,0,6,3,4,3,8,0,1,0,1,0,1,2,0,1,1,Software Engineer,0,1
222,0,8,3,1,8,6,5,6,3,0,0,1,0,1,0,0,0,1,0,Software Engineer,1,0
223,1,9,2,4,6,3,4,1,4,0,1,0,0,1,0,1,2,1,0,Software Engineer,0,1
224,3,4,7,5,6,8,2,2,7,1,1,1,0,1,1,0,1,0,0,Software Engineer,1,0
225,0,7,3,3,9,7,8,5,5,1,0,0,0,1,1,0,0,0,1,Software Engineer,1,0
226,8,7,5,4,4,0,0,8,8,0,1,1,1,1,0,1,2,0,1,Software Engineer,1,0
227,9,5,1,0,9,0,3,0,2,0,1,1,1,0,1,1,2,0,1,Software Engineer,0,1
228,3,8,4,9,3,8,5,1,3,0,1,0,0,0,1,2,2,1,0,Software Engineer,0,1
229,3,6,4,5,3,3,8,2,3,0,1,0,1,1,1,0,0,0,0,Software Engineer,1,0
230,8,5,0,2,1,3,9,5,2,0,1,1,0,1,1,2,0,1,0,Software Engineer,1,0
231,6,5,0,2,0,1,7,9,2,1,0,1,1,1,1,1,0,0,0,Software Engineer,1,0
232,7,6,2,1,6,3,9,1,3,1,1,1,1,1,0,0,2,1,0,Software Engineer,0,1
233,6,4,4,2,1,6,5,3,0,1,0,1,1,0,1,1,2,1,0,Software Engineer,1,0
234,8,8,8,4,9,6,4,1,0,0,1,0,0,1,0,1,2,0,1,Software Engineer,1,0
235,7,8,2,9,6,7,9,3,6,0,1,0,0,0,1,2,2,0,0,Software Engineer,0,1
236,3,7,0,7,6,1,5,0,0,0,0,1,0,0,1,2,1,1,0,Software Engineer,0,1
237,1,1,3,1,7,2,3,2,8,1,1,0,0,0,0,0,1,1,1,Software Engineer,0,1
238,9,1,7,2,0,9,4,6,5,0,0,1,1,0,0,0,1,1,1,Software Engineer,1,0
239,3,7,7,3,7,9,8,1,7,1,0,0,1,0,0,2,2,0,0,Software Engineer,1,0
240,6,3,2,0,7,8,2,7,6,1,0,1,0,0,1,0,0,1,1,Software Engineer,1,0
241,6,0,5,0,1,4,6,5,2,1,0,1,1,0,1,1,0,1,0,Software Engineer,1,0
242,4,1,5,0,7,6,2,8,6,0,1,1,0,1,1,2,2,0,0,Software Engineer,1,0
243,5,9,8,6,8,7,0,0,3,1,0,1,1,1,1,1,0,0,1,Software Engineer,1,0
244,8,2,1,2,8,6,1,9,8,1,1,0,0,0,0,0,0,1,1,Software Engineer,0,1
245,5,9,8,7,4,2,2,6,1,0,1,1,0,0,0,0,1,1,0,Software Engineer,0,1
246,9,7,5,3,0,0,2,8,7,0,0,0,0,0,1,2,2,0,0,Software Engineer,0,1
247,9,2,5,4,5,7,3,9,9,0,1,0,0,1,0,0,0,0,0,Software Engineer,1,0
248,7,3,7,7,3,4,3,4,2,1,1,0,0,1,0,0,2,1,1,Software Engineer,0,1
249,1,3,6,7,6,4,8,7,0,1,0,0,0,0,1,2,0,0,1,Software Engineer,1,0
250,6,9,2,1,1,4,5,6,9,0,0,1,1,0,1,1,1,0,1,Software Engineer,0,1
251,0,1,6,9,3,5,5,6,4,1,0,1,1,1,1,2,0,1,0,Software Engineer,0,1
252,7,4,6,1,7,4,2,0,1,0,1,0,0,1,0,0,0,0,1,Software Engineer,0,1
253,5,2,2,3,0,4,9,1,7,1,1,1,0,1,1,0,0,0,1,Software Engineer,0,1
254,6,3,1,1,2,3,5,9,5,0,1,0,1,0,1,1,0,1,1,Software Engineer,0,1
255,3,3,6,7,1,7,7,6,1,0,0,0,1,0,0,1,2,1,0,Software Engineer,1,0
256,1,5,4,7,7,1,5,8,6,1,0,1,0,1,0,2,0,1,1,Software Engineer,1,0
257,0,2,9,0,1,4,9,3,7,0,0,1,0,0,1,1,2,1,0,Software Engineer,1,0
258,7,2,1,6,6,1,8,2,3,0,0,1,0,0,0,2,1,1,0,Software Engineer,0,1
259,0,0,2,4,9,5,1,0,3,0,0,1,1,1,1,1,0,1,0,Software Engineer,0,1
260,6,5,1,7,2,3,7,9,3,0,0,0,1,1,0,1,1,0,1,Software Engineer,1,0
261,7,5,1,0,2,7,5,2,5,0,1,0,1,1,0,1,2,0,1,Software Engineer,0,1
262,1,3,6,0,8,6,1,6,7,0,0,0,1,1,0,0,1,0,0,Software Engineer,1,0
263,1,7,0,0,6,7,5,9,5,0,1,1,0,1,0,2,1,0,1,Software Engineer,1,0
264,2,2,6,8,5,3,7,5,4,0,1,0,0,0,1,2,2,0,1,Software Engineer,1,0
