,reviewBody,Sentiment
15,"This is a beautiful new home for TU Dublin, Ireland's first technological university which developed out of the Dublin institutes of technology. Much of the site was originally an asylum and subsequently a psychiatric hospital. Part of that remains but has been moved to new buildings. The remaining older structures as well as a large number of new purpose-built university buildings are now located here.",1.0
16,This looks like a state of the art new modem Technical University. I was very impressed.,1.0
17,This is a very impressive campus. It seems to be very well designed and very well planned out and and is sympathetic to the original buildings. Seems to have very good facilities including playing fields. It also benefits beautifully from wonderful views of the city of Dublin and the Dublin mountains.,1.0
18,Nice new facilities at this new campus of TU Dublin.,1.0
19,Lots of people out for a walk on a November Sunday morning,1.0
20,"Amazing campus with a good vibe, just missing a proper cafÃƒÂ©.",1.0
21,"Great campus to go for a walk, and with a couple of options to easily gain access during the day: Stonneybatter and North Circular road. It has some nice views of the mountains and good tracks for running as well as a good children's playground.",1.0
22,This is a very impressive campus. It seems to be very well designed and very well planned out and and is sympathetic to the original buildings. Seems to have very good facilities including playing fields. It also benefits beautifully from wonderful views of the city of Dublin and the Dublin mountains.,1.0
23,I know this building has over 200 years of varied history that you can find lots of resources on but visually is very interesting. You could explore the outside with your eyes and spend lots of time on that alone. Well worth a look. #exploreirishhistory,1.0
24,"Great team, great people, great campus, good working place",1.0
25,"Excellent campus, really beautiful and modern. Makes me want to be a student again!",1.0
26,"- No place to study. - Cafeteria has less than 100 seats which means you can never get a seat during launch. - not even 1 year in my lecture hall is already breaking apart - constantly having issues with my student id not working. - yeah sure the greenery looks nice. but the campus is simply to small and lacks the facilities that a university should have, I know several it colleges and some community colleges that have better facilities than this campus. As an IT student i genually regret coming here.",0.0
27,Lovely campus. Great for a socially distanced walk. Exits to Stoneybatter/Prussia St and to Tesco Prussia st as well as to Grangegorman. Nice coffee truck too. Kids play round and football pitches.,1.0
28,"This is a beautiful new home for TU Dublin, Ireland's first technological university which developed out of the Dublin institutes of technology. Much of the site was originally an asylum and subsequently a psychiatric hospital. Part of that remains but has been moved to new buildings. The remaining older structures as well as a large number of new purpose-built university buildings are now located here.",1.0
29,Beautiful open space so near Dublin City Centre. The dog loves it and there is a really well equipped playground. The view of the Dublin Mountains makes it feel like the countryside. I really like the lilacs which are plentiful and we meet lots of lively friendly people. It's cool to hear people practising their instruments or singing through an open window. Highly recommended walking spot.,1.0
30,This looks like a state of the art new modem Technical University. I was very impressed.,1.0
31,Nice new facilities at this new campus of TU Dublin.,1.0
32,"Played a match on the GAA pitch vs St Brendan's, paid parking via apcoa app and run down changing rooms, pitch was in great condition though. Not sure what the rest of the campus is like.",1.0
33,This complex will be a beautiful space when completed. Open ping pong tables are available to all. Only thing lacking is adequate visible security personnel to control gangs of teens,1.0
34,"Lots of teenegers and youths making trouble whole day long. Disturbing other visitors, kids, parents. Demage the buildings, facilities, steel the coffee van, Making fire, using fireworks.... Better to avoid this place!",1.0
35,Really amazing and Beautiful Ã°Å¸ËœÂ Feels likes Home.,1.0
36,Great place to sit or exercise. Well kept safe area. Great view of Dublin and the mountains. Close to conveniences.,1.0
37,"Nice college grounds area for walking, jogging, exercise along with sports facilities and childrenÃ¢â‚¬â„¢s playground. Snacks and Tea / Coffee etc also available. Well connected to Dublin City centre, Luas Green line, Stoneybatter and North Circular Road.",1.0
38,Lots of people out for a walk on a November Sunday morning,1.0
39,"Stunning new university campus near Dublin city centre- a centre of excellence in music and drama with superb facilities including a 400-seater concert hall, smaller recital hall and theatre",1.0
40,"Nice socs and clubs, def check out",1.0
41,After Covid struck it was a different experience but things worked out perfectly for me,1.0
42,Really enjoyed first 2 years of my degree here. Campus atmospheres are very warm and welcoming and you are provided with countless opportunities to make friends and meet new people.,1.0
43,Good university with competitive curriculum.,1.0
44,"Really love this university, the people are so nice and welcoming.",1.0
45,"Amazing University, I love this place so much. There are many clubs and society’s where you can find friends, and just enjoy college life. The lecturers are all really nice (in my experience so far), and really understanding regarding extensions to deadlines etc.. The facilities are great and so is the location (quite close to the city centre). Overall I love DCU and i’m so glad I attend this university.",1.0
46,Dublin City University- I really enjoy this college and my course,1.0
47,Only getting started but love it so far,1.0
48,"Great college e perience and lectures/lecturers. Careers service, students union and grant programs could house some betterment but no major complaints.",1.0
49,Modules all online this year so no comments.,1.0
50,It was a great experience even considering current circumstances,1.0
51,Technological university Dublin,1.0
52,Dublin City University is a well recognised institution with first rate faculty and an impressive array of courses.,1.0
53,Excellent university. The lecturers where extremely helpful.,1.0
54,"Modern university, careful staff, all you need for studying is there including free laptops and computers, libraries, free rooms for group studies. Communicative staff, well organized.",1.0
55,The most progressive and modern university in the country that is miles ahead of everyone else.,1.0
56,"Excellent college with channels into any area of knowledge, would recommend",1.0
57,"I really love DCU because of the relations students have with their lecturers. Everyone is treated individually, everyone can ask for help if needed and I feel like every lecturer really tries their best to make every student feel and do their best",1.0
58,"A great college , it’s a really nice relaxed atmosphere where everyone feels accepted",1.0
59,"Absolute best university I originally went to UCD but dropped out after a year and went to DCU, when comparing the two I found DCU had more to offer both academically and socially. It has a sort of family atmosphere where everyone plays an important role. Classes are smaller and more personal so lecturers go to a special effort to teach everyone at all levels, individually. The facilities for students are exemplary with only a short walk between all. In my previous college experience I had a long walking trip between facilities like gym and library, even basic lecture halls. Overall I’d really recommend DCU if you’re looking for a thriving college life and do well academically. 10/10",1.0
60,"DCU is community, people look after eachother and we are one big family. The uni is small but not too small it’s perfect!",1.0
61,Bolton street is a great learning environment with an amazing canteen and library,1.0
62,great college. made great friends. great courses for specalised areas,1.0
63,great place to study in the country,1.0
64,I am based in aungier st there is nothing nice about the college. Although it has clean bathrooms etc. When it comes to microwaves etc there is only one in the whole college. The food areas could be nicer.,1.0
65,Good university especially for engineering. Top class lecturers who care about their students and are often available to lend a hand when required. New Grangegorman campus is a huge upgrade from Kevin's Street campus,1.0
66,The best thin was that the lecturers had only a few students per class,1.0
67,"Very friendly environment, helpful staff and lots of ways to socialise.",1.0
68,Very nice university. Could not be happier about my course even though it is chemistry and we do more physics than chem.,1.0
69,"The campus is good, I am still getting use to it but seem lovely",1.0
70,Great college and very friendly and helpful people all over the college. New campus is beatufiful but still lacking some facilities,0.0
71,Excellent university and lecturers however administration and management can be slow.,1.0
72,Nice university on the small side. Nice area.,1.0
73,My university is very far away to my accommodation,1.0
74,Good campus and lovely place to study and definitely would recommend others,1.0
75,"I just started 3rd year, i have yet to get my results from 2nd year back and had to follow up myself only to find out that there is a query about one supplemental exam. Because of this I cant register for the year or any modules and I have a part of a project worth 40% of my whole year due next week that I can't start. I have received no emails from the college or any lecturer, or even the college itself. i had to call registration services for them to tell me that I can;t register because my accounts have been disabled. Overall, I'm very stressed and disappointed. I wouldn't recommend TU Dublin to anyone, especially the School of Languages.",0.0
76,New campus is lovely and the new facilities are brilliant.,1.0
77,I have not learned anything since I started.,0.0
78,The conservative of Music and Drama is the perfect place to study if you want a broad knowledge of the industry and a supportive learning environment with amazing state of the art facilities,1.0
79,"Very bad experience here. Lectures are uninterested and seem to just want to get out of there (most lecturers, there are of course a few good ones). Some are arrogant beyond belief for no apparent reason. My 4th year thesis supervisor corrected no work/drafts for me and supported me in no way at all. Basically put in the work in 6th year and get into a proper college no this kip.",0.0
80,"Lecturers were very mean and spoke down to students like kids. No enthusiasm, no fun, no interest at all. It was a sad place to be and I’ve since left the university. Better off in a different one, leaving was the best decision I’ve made",0.0
81,TU Grangegorman is a beautiful campus with many great facilities.,1.0
82,"For a technology university I don’t see how I get viruses everytime I plug my usb in which currpt all files on it and resets my work , really annoys me , the lectures didn’t care , they be giving out assignment after assignment not giving a f***",0.0
83,doing marketing. they genuinely care about u and try help you!,1.0
84,Studied Drama at the TUD Conservatory (Rathmines) and it was awful. Complaints were ignored. Useless for disability. Blocked accommodations I was making for myself and gave assistance for things I didn't request that I had to opt out of (for exams I needed to talk to each teacher and tell them I understood that the accommodations requested for me didn't apply to practical exams.),0.0
85,"Lecturers were aggressive and treated students like children, one of mine disclosed confidential information about my grades to my class mates. Very unprofessional. Dates and deadlines are very last minute and it’s impossible to keep a job or book holidays while attending. Kevin st campus was very sad and run down. Wouldn’t recommend, but can only go upwards from here",0.0
86,Honestly so far it’s been the best time of my life. Love my course and the people,1.0
87,Amazing campus ! Great facilities ! Amazing lecturers ! Just all round great college,1.0
88,Need to work more on improving student engagement.,0.0
89,Student Union More interested in reels than actual student problems,0.0
90,Admissions office is very helpful for international students,1.0
91,Cafeteria too expensive,0.0
92,Teachers need to understand what problems students are facing before giving out.,0.0
93,"My experience with Trinity College totally falls under the overall discomfort related to the pandemic. Due to COVID, I've never been able to visit neither the campus nor the city of Dublin, so I invite you to consider my words accordingly. I did not appreciate how the university handled the whole thing. I paid a lot of money to take part to an MPhil I am not very happy to have attended. The professors were very good, but the institution made me feel alone, abandoned. For someone who could not go outside due to the restrictions, the workload revealed to be quite heavy: I went burnout almost twice and event went to the hospital. Moreover, the digital library services were insufficient, so I had to find ""colorful"" ways to retrieve material to write my dissertation. No, we did not have a discount. Last but not least, my degree was not specialising at all, and I spent eight months sending hundreds of curricula.
Happy to have stayed at home, the student housing cost was ridiculous anyways.",0.0
94,"I feel like I graduated despite how the programme was structured, not by benefiting from the academic excellence Trinity likes to brag about. Professors seemed swamed by their work as researchers - which advances their careers more than teaching - and the educational experience suffers greatly under this. Seminars were often little more than research papers verbally summarised by a professor with lack of interest in teaching being evident. Feedback on papers in the Master program that I did was often just a number slapped on a submission months after the deadline. When I ocasionally asked for clarification I received either snappy or no responses at all. Other annoyances are a lack of seating spaces to eat, effectively forcing you to spend money in the canteen if you want to stay warm and dry. As a graduate I thus reach this conclusion: If you want a good name on your CV, study at Trinity. If you want an engaging educational experience, consider other options.",0.0
95,Really enjoying it so far. Only thing that is frustrating is that it takes a while to hear back.,1.0
96,"Trinity was the perfect choice for me, as the master's program I completed was interdisciplinary, interesting, and what I wanted to study. The faculty were very helpful and knowledgeable",1.0
97,TCD is an awesome university but sometimes you can feel a bit forgotten about by the administration.,1.0
98,"Trinity is generally a good university, with a lot of life happening. However, you can tell it is slowly getting interested only with getting more and more money, milking students more each year. The TCDSU is not really 100% towards defending us, since it is more a façade for the administration to appease students and pretend they care. I have encountered a lot of issues with connecting with the WIFI. Also they do not seem to care about students’ mental health since the waiting time is 3 months for a meeting and they have not increased the budget allocated to it, despite their claims.",1.0
99,"Great university, great campus",1.0
100,Really enjoyed the academic and social side,1.0
101,The No.1 university in Ireland,1.0
102,Brilliant student life and lovely campus!,1.0
103,The one problem would be the lack of seating for people wanting to eat food. There’s no area where people can bring their own food to eat. You’re kicked out of the Buttery if you eat anything other than what they sell you. How is this fair? Not everyone can afford to pay for lunch everyday and that doesn’t mean they should be told to sit outside and eat it.,1.0
104,"Standard of teaching is s*** as are support services, go to UCD, do yourself a favour",1.0
105,"Trinity is fantastic, there’s a space for everyone to find their niche and I feel more at home here than I have anywhere in my whole life",1.0
106,"I was deeply deeply unhappy the whole time I studied here. What is crazy to me is how good everything outside uni was going while studying there was absolutely miserable. Trinity was happy to hold me up as an example from a ‘disadvantaged area’ at an event in first year, but the support pretty much stopped there. The first two years were exhausting trying to pander to Trinity students who tend to be pretty well off and not very inclusive, and I found it very hard to make genuine friends. There was no full time professors in my department, just lecturers who come in for an hour or two a day other than that the building is empty. In first year I had ten hours a week, and the hours went down ever year so that in my final year I had just 5 hours a week plus a 10 minute zoom slot to talk about my portfolio. You might think I’m being pessimistic or dramatic, but I would genuinely implore you to explore other options and get opinions from other people before you choose Trinity.",0.0
107,"I love Trinity campus, so many different places to sit down and relax after classes",1.0
108,"The actual learning is really good and the social aspect is really good, but the current student union body is terrible i don’t understand how they were elected. The careers guidance, i don’t know if it’s just for my field, but it’s basically non existent, i’m finishing third year and have practically no idea of what my options are for when I finish. That’s something they could use a little more work with. I’m in stem, and all the lab facilities are really good. However, the administration in Trinity is literally so bad, a lot of important information my course found out was through people in the year ahead or from people in other courses. It needs a lot of improvement.",1.0
109,"The faculty does little to nothing to help students with future careers, almost no courses have internships or placement included. Very poor method of teaching for the working world.",0.0
110,The university has lots of things to do and good amenities,1.0
111,"Situated in the heart of Dublin, Trinity College has a rich history and terrific academic facilities.",1.0
112,I had a lot of expectations before coming here. I’m still hopeful,1.0
113,"Grand grand, nice staff and tutors",1.0
114,"I love going to college in Trinity, especially now since campus has opened back up. The facilities such as the libraries and the gym are great. The college also makes an effort to ensure students have help for whatever they need, and know who they can ask for help whenever.",1.0
115,I have enjoyed my time studying in the school of English at Trinity.,1.0
116,"Great campus and facilities, the online systems could do with a major update.",1.0
117,Handled covid absolutely awfully,0.0
118,UCD is the best university I've been studying in so far.,1.0
119,Amazing old style campus and events being tuny,1.0
120,"Even though my first year at this university was changed a lot with COVID, I enjoyed my experience thoroughly knowing the staff and my peers were supportive and welcoming.",1.0
121,"Trinity is such a wonderful campus and atmosphere. Even in COVID times, it was so nice to just be there. The staff in my program could not have been better and more understanding during these troubling times.",1.0
122,Pretty satisfied overall. The campus is beautiful.,1.0
123,The location of Trinity's college campus provides the perfect flavour to academic & student life - situated right in the heart centre provides a unique experience between a city & campus life that has been hard to beat!,1.0
124,"Great experience and learning altogether with great modules and lecturers. Student union, careers service and scholarship structures could be improved.",1.0
125,Great experience overall. Interesting and fun students.,1.0
126,"Superb University, assists students to seek knowledge and complete their work particularly in regard to the current pandemic environment",1.0
127,"I like trinity, but sometimes it focuses a little more on tourism than students.",1.0
128,"I love Trinity, haven’t been able to have the full experience this year because of COVID, yet the teaching is very good.",1.0
129,Overall a very good university experience.,1.0
130,It was a great experience even under current circumstances,1.0
131,I have really enjoyed my time at Trinity College,1.0
132,Lovely campus located in a nice part of Dublin,1.0
133,Never attended a lot in person classes due to the pandemic since everything was switched to online. But overall a good experience.,1.0
134,Trinity is great all round great location,1.0
135,"After five years in Trinity I 100% recommend you enjoy it. Take part in as many clubs/societies as possible, which are fantastic and make the most of it.",1.0
136,Great college in a great location and just generally a fantastic place to be,1.0
137,Trinity College offers such a unique college experience and I'm so glad I've been able to complete my studies here!,1.0
138,"Campus facilities are dated, staff care little about education but love to research irrelevant topics.
Clubs are pretentious and full of rich southside kids who compare their dads jobs.
Student union is the same, rich southside socialites with too much time on their hands.
I got 0 careers help at any stage from the college. Nobody once spoke about the relevance of what I was studying to work... And I studied engineering.
Wifi is the best thing about the college.",0.0
139,"Experience of a science & health science faculty student.
Campus/Facilities 2/5, lack of student space in the science side of campus for eating, studying, printing facilities were often out of order, computer room spaces were insufficient.
Clubs and societies 3/5, there was a huge array of clubs and societies that would put on plenty of events all year.
Students Union 3/5, often disengaged from SU likely due to distance, SU and faculty miscommunications leading to disruption of student services occurring during my time.
Careers service 3/5, the careers service is excellent, the guidance councilors especially so, however, their services could be better funded to allow students more time with councilors/other services.
Internet/Wifi 4/5, Wifi's fine .
Not described above:
College Health Services is extremely overbooked, getting appointments could take a month, but the staff working there are very nice.
College mental health/counseling service is heavily underfunded",1.0
140,"Best in Ireland, only begrudged by people who didn’t get in",1.0
141,"Underfunded music department, no soundproofing or proper practice facilities, poor choice of modules, the odd bad lecturer, cash grabbing administration who are terrible at actually helping students and consistently put the universities status as a tourist destination above its duties to current students.",0.0
142,"For a college known to be prestigious, it really doesnt invest in its students or their facilities. Some buildings are so old and nothing is done about them. If only they used the money they got from the book of kells to improve facilities.",1.0
143,The societies are the best things about Trinity College Dublin. Each society has great facilities and the work ethic of the committee are incredible. On the campus I feel the college needs more areas for sitting down and reading that is not the library. There is a lack of “hang out” places for people who are not in a society and the quality of the ones that are already there is lacking. The gym could be bigger and the WiFi never worked for me once in my four years there. I would of liked more help in the career service and I did not get much. Trinity is an amazing place however in terms of it’s historical campus ground and the atmosphere within the walls of the college is always so vibrant and exciting. I love this university a lot.,1.0
144,"A great college for some courses, some others.... not so much. Really caters to the fun life of arts degrees and s**** on those in medical school or more difficult degrees.",1.0
145,Sure the only problem is that most people aren't from South Dublin. Where are all my Rock boys at?,1.0
146,"Its a lovely campus, and has many great facilities. Although eduroam never works for students, and the Students’ Union didn’t provide much support for movements such as the no detriment exam policy. The SU have shops on campus which is great though. Student goods at discounted prices and the Tcard. I haven’t been interacting with the careers service that much but they’re alright. Clubs and Societies are great, just needs a lot more funding",1.0
147,"Extremely slow and incompetent administration, no one replies to emails and no one answers the phone. I don't recommend this college. Teaching is also poor compared to American Universities.",0.0
148,"As an international student from the U.S., Trinity was a great university, full of opportunities to meet new people and engage with the Dublin community. The academic atmosphere took a bit of time to understand as the grading system differs from the US, but the classes were of excellent quality, and the use of tutorials and seminars allowed us to explore our subjects in greater depth.

Unfortunately, one of the biggest drawbacks of TCD is its partial disregard for international students in particular. The cost (though less than many U.S. institutions) is roughly x4 the Irish national rate. Paired with the unnecessarily difficult immigration permission process each year and poor communication within the academic registry, there is a significant burden of stress placed on (non-EU) international students.

Nevertheless, my time at Trinity has been worth the chaos, and I am grateful for the experience that fostered many of my most cherished memories and closest friendships.",1.0
149,"Do not go here,It is a waste of money,there are far better universities.Postgraduate study is poor at trinity.",0.0
150,"While many of the classes were good, working with the administration on anything was far too difficult. They are neither flexible nor approachable, leading to significant delays whenever you need something.",1.0
151,"Absolutely horrific. While the transition was swift, they classes were awful. There was little to no engagement from professors, which lead to me learning very little.",0.0
152,I had some issues with applications and they really helped and cared that this was my dream school. They stuck to their word and I can not wait to attend.,1.0
153,"Beautiful campus with an incredible academic atmosphere and an impressive staff. The classes that I have taken have been fascinating and I have gotten a lot out of my experience so far. There is, however, a lot of emphasis out on student-driven learning which at times translates to lack of guidance.",1.0
154,Trinity College exudes magnificence. The rich history of the college makes you a success as soon as you begin your studies here. Millions of activities go on in various locations in college each day. Skill enhancement is amazing coupled with the great staff. Its worth your time and money.,1.0
155,"A big concept for Irish institutions is that there are little to no gen-eds unless you take a Broad Curriculum module. This leads to a great, expert-level understanding of your major, but if you want more of a general knowledge degree, Trinity might not be the best for you. Also, as Trinity is the largest, most well-known university in Ireland, they are very conscious of their image. As a result, decisions that the more modern students would disagree with are chosen by the administration in order to appear PC. WARNING: Trinity is not wheel-chair friendly AT ALL unless you have someone there to help you - especially if you're near the STEM (back) side of campus.

On the student life side, TCD has a lot of clubs and societies for students to choose from, from our two debating societies (the Hist and the Phil) to QSoc -
our LGBTQIA+ society to Food and Drink Society to Judo - there's a society or club for anyone and everyone in Trinity (and if there isn't, you can always make one!)",1.0
156,"A beautiful campus
Active student life
Good teachers
Very safe
Accessible
Very diverse
Good gym
Wide variety of food to buy on campus
Very helpful and friendly teachers
Wide variety of course choices
Multicultural",1.0
157,"I haven't attended many sporting games during my year ay TCD, but as far as I know, only people involved in the sport actually know when any meets are going to occur. The clubs are easy to sign up for, but if you wanted to just go watch a meet/game/match sometime, you'd have to do some digging.",1.0
158,"The off-campus dining options are okay because Trinity is in the heart of Dublin. However, being a big city, everything is very expensive.",1.0
159,"If you want the traditional American college experience relating to Athletics, you should probably consider a traditional American college. There are certainly sports available at Trinity if you want to pursue them but they're not central to the culture of the school nor do you even really notice them on a daily basis. The athletics facilities are quite new and seem (based upon my *very* limited experience with them) modern, clean, etc... and easy to use. They're also relatively inexpensive compared to a monthly gym membership or even other Dublin colleges like UCD. Returning to sports though, if you want to participate in them, you do so through clubs and societies. Thus, you sign up for rugby club if you want to play rugby or the Hockey club if you want to play hockey. From what I know of these clubs, some of them are thinly veiled drinking societies especially in the lower quality teams whereas others are quite competitive.",1.0
160," havn't found any clear enforcement relating to drug safety. In the Freshman dorms, I suppose if you complained to Reception they might come to investigate but I sincerely doubt anyone would or will... That being said, I haven't personally felt any pressure to participate in drugs and mostly it appears to be light pot smoking",0.0
161,"Hi
My name is Rashi. I completed my master’s from ucd in the year 2015 and i cherish every single learning from that place.
I was always into small things like save water, plant more trees, reduce energy consumption, no to plastic, recycling paper and many more. UCD’s intercultural environment and the new approaches i noticed was the most interesting at first. Later my master gave me a huge opportunity to learn the news ways and technology to save earth Or basically to save us.
The reduction for plastic can be done at verious level of its life. Therefore LCA (life cycle assessment ) modules were of great knowledge.
The reduction of energy consumption and conservation for the animal and plant farming were also very important and new to me.
Teachers and mentors were also excellent help. ",1.0
162,"Very messy administration. I was here as an exchange student. Some administrators are very unprofessional, handling issues with personal preference. If she dislikes someone, she wonâ€™t even bother to hide the fact that she wants you to get into trouble. The higher administration is indifferent about students. The administration here tries very hard to imitate other systems, but administratorsâ€™ quality and mindset matter more. Luckily, some scholars here were helpful and righteous, supporting students get out of the situation.",0.0
163,DIDN'T EXCEPT ME INTO THEIR COLLEGE. now i'm in sallynoggin college like helpppp why do me like that fam? i'm crying please reconsider,0.0
164,Don't know what your talking about????,0.0
165,Its almost like the College doesn't want you do well,0.0
166,"Student life is amazing. They have a lot of societies around campus to meet new people and the campus is nice and modern. However, all it took was one professor to ruin my whole experience, Clare Branigan. She has one of the worst attitudes from a professor I have ever met and her uncaring attitude towards students do not help. Her lectures are unenthusiastic as if she was forced to attend to just pick up her paycheck and embarrasses students when given the chance. To put it simply, I do not appreciate her attitude.",0.0
167,"Nice on the outside, on the inside staff can be rotten to the core",0.0
168,Went there to get 2nd dose of Astra Zeneca. Vaccine. Location is a nightmare for anyone with walking difficulties compared to City West.,0.0
169,A maze of building sites and one way systems and dead ends! Outside features looked neglected ðŸ˜,0.0
170,Very bad school do not recommend i have very very bad memories from them for your own safety please avoid this place,0.0
171,"My experience of this place is not good, my records were placed on hold and I left without a degree.",0.0
172,Dolores Cahill is a lecturer here.,0.0
173,Up the noot,0.0
174,An absolutely atrocious level of visitor parking that seems to almost exclusively used by students.,0.0
175,"Went to get son vaccinated. Took over half an hour to find the place. See photo of sign post example. It's on the pole...see it? No? Well, neither could we until after we came out. And as for the exit from the building...up stairs in the dark . And then couldn't find our way out of UCD until I saw a bus and followed it.",0.0
176,Some cool lawns and architectural designs in there.,1.0
177,Beautiful place to sit and relax. Nice walks in tree lined pathway,1.0
178,Huge and always expanding. Lots of course options and the professors care a lot about what they teach. Huge amount of students and clubs so there is something for everyone.,1.0
179,Beautiful sunsets near lake in front of engineering building.,1.0
180,Lovely place.,1.0
181,"At a hurling blitz there today, hosted by Kilmacud Crokes. Very well organised and great facilities at UCD.",1.0
182,Beautiful experience calm atmosphere the ceremony went well guests speakers and everyone who put the event together did a great job all the students looking fabulous thanks to everyone and for me this is a dream come through more achievement in the future,1.0
183,"I studied in this university for 5 years from 2014 - 2019, and what an excellent education I received here. I graduated with a 1:1 Bachelors of Agricultural science degree (Specialising in Horticulture and Landscape mgt) OK WELL... Educational facilities, e.g laboratories, classrooms, computer rooms, tutorials, studios, Library, ag testing sites....are next level, 1st class ++++ Educational staff: A++ were really great, very helpful, understanding, good presenters, extremely knowledgeable, links with Industry etc... Course content: very thorough, applicable to industry A+ Campus: B-..........A lot of people complain about the campus, but tbh its very green, well maintained, two lakes, open air, safe, bright. My only gripe would be there are not enough places to hang out/congregate!! its almost too big, in a weird way XD Club & Societies- A+++ Absolutely incredible. i got really involved with the mountaineering club, Horticulture society and rowing team too :) so much to offer, they add so much value, easy way to meet new people!!! amazing fun. Social life: GRADE C......I found it really difficult to meet new friends here (and I know many many others that did)...i really had a hard time integrating and i'm not a shy, or introverted person at all. Although I met many people I only made like 2 real friends in 4 years which is kinda dissapointing. I was so desperate to fit in, but I never could, I still dunno why to this day. Many of my friends went to TCD, DCU and trinity made so many new friends and life long friends...but there is something about UCD that makes it hard to make real friends. In the first 3 months, lots of people form a clique that they stick with for the next 4 years and if you aren't in a clique by then, well then good luck. I knew a lot of lonely people here, some even dropped out because of it. I mean I was very lonely for periods in UCD. The bar at UCD, isn't much craic at all, got a weird layout and pretty small for the size of UCD. it was the last day on campus, and they were playing live music and everyone was standing there like fools. So it ended being just me and two punk guys that danced XD beer is expensive too, like regular prices. (DONT GET ME WRONG, You will be friendly and have 'uni friends' yes, but long term mates, outside of campus, im not sure) This really is my only gripe, which is why I give it 4 stars instead of 4!!! BUT STILL, VERY GRATFEFUL FOR MY EDUCATION HERE, and it was a fantastic experience all the same. I leave you with a great photo from HORTICULTURE SOCIETY (Which I managed for 2 years) and mountaineering party and Rosemount, ! I am gonna be an Alumni in a few years after I make my millions in Agriculture, thanks everyone at UCD.",1.0
184,A lovely park! The Autumn colours are starting to appear!ðŸ’™ðŸ˜€,1.0
185,"Went to get son vaccinated. Took over half an hour to find the place. See photo of sign post example. It's on the pole...see it? No? Well, neither could we until after we came out. And as for the exit from the building...up stairs in the dark . And then couldn't find our way out of UCD until I saw a bus and followed it.",0.0
186,"Memory Lane. I was here from 1980-86 (Science). Wandered around location of old Belfield Bar (footprint part of large pond now!) & 'new' bar that replaced it, (sad looking one story concrete building in these pics). All's changed, changed utterly!",1.0
187,"A stunning campus, undergoing another major transformation, its an open campus so all members of community can enjoy the woodland walks, ponds and landscaping, on the edge of vibrant Dublin centre, definitely worth a visit",1.0
188,"Got a supervisor om my masters thesis who didn't know my chosen topic at all. He only bothered to have one Skype call with me over a dodgy connection from Spain and gave me helpful advice such as ""You need an intro and a conclusion"". Also, there's some serious political bias in the politics department. You better write like Foucault or Trotsky if you want good grades",0.0
189,Finished my Masters in Food Safety here in 2019. Quality of education is pretty good. Facilities are on point. One of the better universities in Ireland. A lot of extra curricular activities organised all round the year. No racism or any other issue as per my experience. Teaching staff is quite knowledgeable. I loved my time there. 10/10,1.0
190,"Ucd festival, great success again this year. Indoor and outdoor interactive stands for all aged 3 to 103. Covering subjects from under the ground right up into outer space and the world of virtual reality. Great community, commercial and academic collaboration.",1.0
