University,Course_Name,CAO Score,Budget,City,Interest,Job domain
Dublin City University,Data Science Engineering (DC123),500,7000,Dublin,Football,HR
Dublin City University,Computing for Business (DC120),419,8000,Dublin,Singing,Management
Dublin City University,Mechanical and Manufacturing Engineering (DC195),511,5000,Dublin,Chess,Support
Dublin City University,Computer Science and Engineering (DC121),498,6500,Dublin,Athletics ,Finance 
Dublin City University,Biomedical Engineering (DC197),544,6500,Dublin,Automation,Law
Dublin City University,Common Entry into Engineering (DC200),534,6750,Dublin,Cricket,IT
Technological University Dublin (City),Bachelor of Science (Honours) in Accounting ,401,2500,Dublin,Football,HR
Technological University Dublin (City),Bachelor of Science (Honours) in Analytical Chemistry (Environmental Forensic and Pharmaceutical),402,2800,Dublin,Singing,Management
Technological University Dublin (City),Bachelor of Science (Honours) in Biomedical & Molecular Diagnostics,530,2900,Dublin,Chess,Support
Technological University Dublin (City),Bachelor of Science (Honours) in Business & Law,475,4210,Dublin,Athletics ,Finance 
Technological University Dublin (City),Bachelor of Science (Honours) in Chemical Sciences with Medicinal Chemistry,454,3689,Dublin,Automation,Law
Technological University Dublin (City),Bachelor of Science (Honours) in Computer Science,485,3489,Dublin,Cricket,IT
Technological University Dublin (City),Bachelor of Engineering (Honours) in Electrical & Electronic / Computer & Communications Engineering (Apply - Advanced Entry),530,2240,Dublin,Football,HR
Technological University Dublin (City),Bachelor of Science (Honours) in Electrical Services & Energy Management,318,2120,Dublin,Singing,Management
Technological University Dublin (City),Bachelor of Arts (Honours) in Game Design,468,5000,Dublin,Chess,Support
Technological University Dublin (City),Bachelor of Science (Honours) in International Hospitality Management,251,4500,Dublin,Athletics ,Finance 
Technological University Dublin (City),Bachelor of Science (Honours) in Biomedical Science,544,3500,Dublin,Automation,Law
Technological University Dublin (City),Bachelor of Science (Honours) in Physics Technology,307,6500,Dublin,Cricket,IT
Technological University Dublin (Tallaght),Bachelor of Business (Honours) in Accounting and Finance,255,7500,Dublin,Football,HR
Technological University Dublin (Tallaght),Bachelor of Arts (Honours) in Advertising and Marketing Communications ,209,7000,Dublin,Singing,Management
Technological University Dublin (Tallaght),Bachelor of Science (Honours) in Computing with Data Analytics,254,8000,Dublin,Chess,Support
Technological University Dublin (Tallaght),Higher Certificate in Business,180,5000,Dublin,Athletics ,Finance 
Technological University Dublin (Tallaght),Bachelor of Business in Marketing ,250,2500,Dublin,Automation,Law
Technological University Dublin (Tallaght),Bachelor of Science (Honours) in DNA and Forensic Science,462,2800,Dublin,Cricket,IT
Technological University Dublin (Tallaght), Bachelor of Arts (Hons) in Digital Marketing Technologies,227,2900,Dublin,Football,HR
Technological University Dublin (Tallaght),Bachelor of Engineering (Honours) in Electronic Engineering / Engineering Software,350,4210,Dublin,Singing,Management
Technological University Dublin (Tallaght), Bachelor of Business (Honours) International Business,337,3689,Dublin,Chess,Support
Technological University Dublin (Tallaght),Bachelor of Engineering (Honours) in Automation / Biomedical Design / Mechanical Engineering / Sustainable Energy Engineering,301,3489,Dublin,Athletics ,Finance 
Technological University Dublin (Tallaght),Bachelor of Science in Pharmaceutical Science,431,2240,Dublin,Automation,Law
Technological University Dublin (Blanchardstown),Bachelor of Business in Accounting and Finance,232,2120,Dublin,Cricket,IT
Technological University Dublin (Blanchardstown),Bachelor of Business (allowing later specialisation in Business or Business with a Language or Business with Information Technology),270,5000,Dublin,Football,HR
Technological University Dublin (Blanchardstown), Bachelor of Business (Honours) in Information Technology,265,4500,Dublin,Singing,Management
Technological University Dublin (Blanchardstown),Bachelor of Arts in Community and Youth Development,280,3500,Dublin,Chess,Support
Technological University Dublin (Blanchardstown),Bachelor of Engineering (Honours) in Computer Engineering in Mobile Systems,270,6500,Dublin,Athletics ,Finance 
Technological University Dublin (Blanchardstown),Bachelor of Science (Honours) in Computing in Digital Forensics & Cyber Security,285,7500,Dublin,Automation,Law
Technological University Dublin (Blanchardstown),Higher Certificate in Science in Computing in Networking Technologies,400,7000,Dublin,Cricket,IT
Technological University Dublin (Blanchardstown), Bachelor of Science (Honours) in Computing in Digital Forensics and Cyber Security,300,8000,Dublin,Football,HR
Technological University Dublin (Blanchardstown),"Bachelor of Science (Honours) in Design, Technology & Innovation",281,5000,Dublin,Singing,Management
Technological University Dublin (Blanchardstown),Bachelor of Business (allowing later specialisation in Business or Business with a Language or Business with Information Technology),270,6500,Dublin,Chess,Support
Technological University Dublin (Blanchardstown),Bachelor of Engineering (Honours) in Mechatronic Engineering,272,6500,Dublin,Athletics ,Finance 
Technological University Dublin (Blanchardstown), Bachelor of Science in Process Instrumentation & Automation,381,6750,Dublin,Automation,Law
Griffith College Dublin,Certificate in Animation,272,2500,Dublin,Cricket,IT
Griffith College Dublin,BA (Hons) in Audio and Music Technology,285,2800,Dublin,Football,HR
Griffith College Dublin,BSc (Hons) in Computing Science,300,2900,Dublin,Singing,Management
Griffith College Dublin,BA (Hons) in Counselling & Psychotherapy,350,4210,Dublin,Chess,Support
Griffith College Dublin,BA (Hons) in Graphic Communication Design,362,3689,Dublin,Athletics ,Finance 
Griffith College Dublin,Certificate in Intelligent Technologies in Procurement and Supply Chain 4.0,400,3489,Dublin,Automation,Law
Griffith College Dublin,Certificate in Industrial Manufacturing and Maintenance Skills,350,2240,Dublin,Cricket,IT
Griffith College Dublin,Bachelor of Engineering in Industrial and Systems Engineering (B.Eng.),400,2120,Dublin,Football,HR
Griffith College Dublin,BA (Hons) In Pharmaceutical Business Operations,385,5000,Dublin,Singing,Management
Griffith College Dublin,BA (Hons) in Music Production,350,4500,Dublin,Chess,Support
Griffith College Dublin,BA (Hons) in Procurement and Supply Chain Management,300,3500,Dublin,Athletics ,Finance 
Dublin Business School,BSc (Hons) Computing Data Analytics (DB502),300,6500,Dublin,Automation,Law
Dublin Business School,BSc (Hons) Computing Software Development (DB503),320,7500,Dublin,Cricket,IT
Dublin Business School,Bachelor of Business ( DB571),450,7000,Dublin,Football,HR
Dublin Business School,Bachelor of Business in Accounting (DB572),398,8000,Dublin,Singing,Management
Dublin Business School,Bachelor of Business in Marketing (DB573),364,5000,Dublin,Chess,Support
Dublin Business School,BA (Hons) Marketing - Digital Media and Cloud Computing (DB525),412,2500,Dublin,Athletics ,Finance 
Dublin Business School,BA (Hons) Film & Creative Media (DB567),369,2800,Dublin,Automation,Law
Dublin Business School,"BA (Hons) Business(DB512, DB514, DB569, DB515, DB520)",560,2900,Dublin,Cricket,IT
South East Technological University,Bachelor of Business (Hons) (Common Entry) (SE402),310,2240,Carlow,Automation,Law
South East Technological University,Bachelor of Business (Honours) in Business Management (SE401),261,2120,Carlow,Cricket,IT
South East Technological University,Bachelor of Business Hons (Human Resource Management) (SE414),241,5000,Carlow,Football,HR
South East Technological University,Bachelor of Business (Honours) in International Business (SE401),261,4500,Carlow,Singing,Management
South East Technological University,Bachelor of Business Hons (Accounting) (SE407),329,3500,Carlow,Chess,Support
South East Technological University,Bachelor of Business Hons (Management) (SE414),214,6500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Business Hons (Marketing) (SE401),272,7500,Carlow,Automation,Law
South East Technological University,Bachelor of Business (Hons) in Business Information Systems (BIS) (SE409),252,7000,Carlow,Cricket,IT
South East Technological University,Bachelor of Business (Honours) in Business with Law (SE403),267,8000,Carlow,Football,HR
South East Technological University,Bachelor of Business (Honours) in Finance and Accounting (SE401),261,5000,Carlow,Singing,Management
South East Technological University,Higher Certificate in Business with Law (SE421),251,3500,Carlow,Chess,Support
South East Technological University,Bachelor of Science (Honours) in Cybercrime and IT Security (SE606),338,6500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Science in Cybercrime and IT Security (SE612),228,7500,Carlow,Automation,Law
South East Technological University,Bachelor of Science (Honours) in Computing in Interactive Digital Art and Design (SE608),320,7000,Carlow,Cricket,IT
South East Technological University,Bachelor of Science in Computing in Interactive Digital Art and Design (SE615),233,8000,Carlow,Football,HR
South East Technological University,Bachelor of Science (Honours) in Computer Games Development (SE607),326,5000,Carlow,Singing,Management
South East Technological University,Bachelor of Science (Honours) in Software Development (SE603),347,6500,Carlow,Chess,Support
South East Technological University,Bachelor of Science in Software Development (SE609),270,6500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Science (Honours) in Information Technology Management (SE601),310,6750,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Information Technology Management (SE614),251,2500,Carlow,Cricket,IT
South East Technological University,Higher Certificate Science in Computing (with Options in Applications or Programming) (SE616),225,2800,Carlow,Football,HR
South East Technological University,Bachelor of Science (Honours) Common Entry (SE500),256,2900,Carlow,Singing,Management
South East Technological University,Bachelor of Science (Honours) in Biosciences with Biopharmaceuticals (SE500),279,4210,Carlow,Chess,Support
South East Technological University,Bachelor of Science (Honours) in Pharmaceutics and Drug Formulation (SE500),279,3689,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Science (Honours) in Brewing and Distilling (SE521),317,3489,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Biosciences (SE515),208,2240,Carlow,Cricket,IT
South East Technological University,Bachelor of Science in Analytical Science (SE513),270,2120,Carlow,Football,HR
South East Technological University,Higher Certificate Science in Applied Biology or Applied Chemistry (SE516),191,5000,Carlow,Singing,Management
South East Technological University,Higher Certificate in Science in Pharmacy Technician Studies (SE937),224,4500,Carlow,Chess,Support
South East Technological University,Bachelor of Engineering (Honours) in Electronic Systems (SE708),224,3500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Engineering in Electronic Engineering (SE722),307,6500,Carlow,Automation,Law
South East Technological University,Bachelor of Science (Honours) in TV and Media Production (SE208),270,7500,Carlow,Cricket,IT
South East Technological University,Bachelor of Science in TV and Media Production (SE212),285,7000,Carlow,Football,HR
South East Technological University,Bachelor of Engineering in Aircraft Systems (SE729),327,8000,Carlow,Singing,Management
South East Technological University,Bachelor of Engineering (Honours) Agricultural Systems Engineering (SE732),200,5000,Carlow,Chess,Support
South East Technological University,Bachelor of Engineering Agricultural Systems Engineering (SE733),100,6500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Engineering in Mechanical Engineering (SE724),338,6500,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Pilot Studies (SE715),100,6750,Carlow,Cricket,IT
South East Technological University,Bachelor of Engineering (Honours) in Mechanical Engineering (SE711),379,2500,Carlow,Football,HR
South East Technological University,Bachelor of Engineering (Honours) in Aerospace Engineering (SE714),395,2800,Carlow,Singing,Management
South East Technological University,Bachelor of Science (Honours) in Sustainable Farm Management and Agribusiness (SE5030,246,2900,Carlow,Chess,Support
South East Technological University,Bachelor of Science (Honours) Organic Agriculture (SE517),100,4210,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Science Organic Agriculture (SE518),100,3689,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Sustainable Farm Management and Agribusiness (SE509),164,3489,Carlow,Cricket,IT
South East Technological University,Bachelor of Education (Honours) in Early Childhood Education and Practice (SE912),260,2240,Carlow,Football,HR
South East Technological University,Bachelor of Education in Early Childhood Education and Practice (SE934),223,2120,Carlow,Singing,Management
South East Technological University,Bachelor of Arts (Honours) in Applied Social Studies in Professional Social Care (SE917),222,5000,Carlow,Chess,Support
South East Technological University,Bachelor of Business (Honours) Common Entry (SE402),310,4500,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Business (Honours) in Business (SE402),310,3500,Carlow,Automation,Law
South East Technological University,Bachelor of Business (Honours) in Digital Marketing (SE402),310,6500,Carlow,Cricket,IT
South East Technological University,Bachelor of Business Common Entry (Options in Business & Digital Marketing) (SE416),250,7500,Carlow,Football,HR
South East Technological University,Bachelor of Business in Business (SE416),250,7000,Carlow,Singing,Management
South East Technological University,Bachelor of Business in Digital Marketing (SE416),250,8000,Carlow,Chess,Support
South East Technological University,Higher Certificate in Business (XBS) (SE420),172,5000,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Science (Honours) in Tourism and Event Management (SE922),251,6500,Carlow,Automation,Law
South East Technological University,Bachelor of Science in Tourism and Event Management (SE925),223,6500,Carlow,Cricket,IT
South East Technological University,Bachelor of Arts (Honours) Visual Communications and Design (SE204),264,6750,Carlow,Football,HR
South East Technological University,Bachelor of Arts Visual Communications and Design (SE210),100,2500,Carlow,Singing,Management
South East Technological University,Bachelor of Arts (Honours) in Art (SE207),101,2800,Carlow,Chess,Support
South East Technological University,Bachelor of Arts in Art (SE211),102,2900,Carlow,Athletics ,Finance 
South East Technological University,Bachelor of Engineering (Honours) Agricultural Systems Engineering (SE732),103,4210,Carlow,Automation,Law
South East Technological University,Bachelor of Engineering Agricultural Systems Engineering (SE733),104,3689,Carlow,Cricket,IT
"Carlow College, St Patrick's",B.A. in Arts & Humanities (PC402),200,3489,Carlow,Football,HR
"Carlow College, St Patrick's",B.A. in Applied Social Studies (Professional Social Care)(PC404),200,2240,Carlow,Singing,Management
"Carlow College, St Patrick's",BA (Hons) in Arts & Humanities (PC410),261,2120,Carlow,Chess,Support
"Carlow College, St Patrick's",BA (Hons) in English & History (PC411),242,5000,Carlow,Athletics ,Finance 
"Carlow College, St Patrick's","BA (Hons) in Social, Political & Community Studies (PC405)",271,4500,Carlow,Automation,Law
"Carlow College, St Patrick's",BA (Hons) in Psychology (PC414),300,3500,Carlow,Cricket,IT
"Carlow College, St Patrick's","BA (Hons) in Philosophy, Politics & Sociology (PC415)",100,6500,Carlow,Football,HR
"Carlow College, St Patrick's","BA (Hons) in Media, English & Culture (PC416)",101,7500,Carlow,Singing,Management
"Carlow College, St Patrick's",BA (Hons) in Applied Social Studies (Professional Social Care) (PC000),102,7000,Carlow,Chess,Support
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Communications with English (AU312),103,8000,Letterkenny,Athletics ,Finance 
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Corporate Law (AU311) ,359,5000,Letterkenny,Automation,Law
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Laws (Hons) LLB (AU310),424,6500,Letterkenny,Cricket,IT
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Design (Common Entry) (AU330),456,6500,Letterkenny,Football,HR
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Animation (AU330),477,6750,Letterkenny,Singing,Management
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Fashion Design with Promotion (AU330),498,2500,Letterkenny,Chess,Support
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Film & Media Production (AU330),323,2800,Letterkenny,Athletics ,Finance 
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Graphic & UX Design (AU330),257,2900,Letterkenny,Automation,Law
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Athletic Therapy and Exercise Rehabilitation (AU321),235,4210,Letterkenny,Cricket,IT
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Hospitality Management Ab-initio (AU322),290,3689,Letterkenny,Football,HR
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Sport & Exercise (Common Entry) (AU320),190,3489,Letterkenny,Singing,Management
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Sport & Exercise with Performance and Well-being (AU320),200,2240,Letterkenny,Chess,Support
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Sport & Exercise with Physical Education (AU320),299,2120,Letterkenny,Athletics ,Finance 
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Business (Hons) Accounting (AU300),399,5000,Letterkenny,Automation,Law
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Business (Hons) Business (AU301),499,4500,Letterkenny,Cricket,IT
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Business (Hons) Marketing with Online Technologies (AU302),412,3500,Letterkenny,Football,HR
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Architectural Technology (AU343),466,6500,Letterkenny,Singing,Management
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Construction Management (AU342),423,7500,Letterkenny,Chess,Support
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) Fire Safety Engineering (AU340),432,7000,Letterkenny,Athletics ,Finance 
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Quantity Surveying (AU341),443,8000,Letterkenny,Automation,Law
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) BEng Hons in Engineering (Common Entry) (AU353),490,5000,Letterkenny,Cricket,IT
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) Biomedical Engineering (AU352),393,6500,Letterkenny,Football,HR
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Computing and Mathematics (LY638),373,6500,Letterkenny,Singing,Management
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) Electronic Engineering (AU351),376,6750,Letterkenny,Chess,Support
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) Mechanical Engineering (AU350),369,2500,Letterkenny,Athletics ,Finance 
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Applied Computing (AU360),349,2800,Letterkenny,Automation,Law
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) BSc Hons in Cyberpsychology (AU362),318,2900,Letterkenny,Cricket,IT
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) BSc Hons in Cyberpsychology (AU362),274,4210,Letterkenny,Football,HR
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Computer Science (AU361),295,3689,Letterkenny,Singing,Management
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Data Science and Artificial Intelligence (AU363),297,3489,Letterkenny,Chess,Support
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Health Care Innovation and Technology (LY728),289,2240,Letterkenny,Athletics ,Finance 
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Agriculture (Common Entry) (AU371),284,2120,Letterkenny,Automation,Law
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) in Agriculture Animal & Crop Science (AU371),281,5000,Letterkenny,Cricket,IT
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) in Agriculture Environmental Management (AU371),291,4500,Letterkenny,Football,HR
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Bioanalytical Science (AU372),395,3500,Letterkenny,Singing,Management
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Food Science & Nutrition (AU370),397,6500,Letterkenny,Chess,Support
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Pharmaceutical & Medicinal Science (AU373) ,336,7500,Letterkenny,Athletics ,Finance 
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) General Nursing (AU380),258,7000,Letterkenny,Automation,Law
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Intellectual Disability Nursing (AU382),453,8000,Letterkenny,Cricket,IT
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Mental Health Nursing (AU381),480,5000,Letterkenny,Football,HR
Atlantic Technological University - Donegal Letterkenny Campus,"Bachelor of Science (Hons) Early Childhood Care, Health & Education (AU390) ",248,6500,Letterkenny,Singing,Management
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Health & Social Care (AU391),186,6500,Letterkenny,Chess,Support
University of Limerick,Bachelor of Architecture (LM099),532,5000,Limerick,Athletics ,Finance 
University of Limerick,Bachelor of Engineering in Chemical and Biochemical Engineering (LM115),476,6500,Limerick,Automation,Law
University of Limerick,Bachelor of Engineering in Electronic and Computer Engineering (LM118),445,6500,Limerick,Cricket,IT
University of Limerick,Bachelor of Science in Biological and Chemical Sciences (Common Entry) (LM123),498,6750,Limerick,Football,HR
University of Limerick,Bachelor of Science in Bioscience (LM123.1),498,2500,Limerick,Singing,Management
University of Limerick,Bachelor of Science in Environmental Science (LM123.2),498,2800,Limerick,Chess,Support
University of Limerick,Bachelor of Science in Industrial Biochemistry (LM123.3),498,2900,Limerick,Athletics ,Finance 
University of Limerick,Bachelor of Science in Pharmaceutical and Industrial Chemistry (LM123.4),498,4210,Limerick,Automation,Law
University of Limerick,Bachelor of Science in Computer Science (Common Entry) (LM121.1),402,3689,Limerick,Cricket,IT
University of Limerick,Bachelor of Science in Computer Systems (LM121.2),402,3489,Limerick,Football,HR
University of Limerick,Bachelor of Science Computer Games Development (LM121.2),402,2240,Limerick,Singing,Management
University of Limerick,Bachelor of Science in Cyber Security and IT Forensics (LM121.3),402,2120,Limerick,Chess,Support
University of Limerick,Bachelor of Science in Construction Management and Engineering (LM082),446,5000,Limerick,Athletics ,Finance 
University of Limerick,Bachelor of Science in Environmental Science (LM066),430,4500,Limerick,Automation,Law
University of Limerick,Bachelor of Science in Equine Science (LM093),367,3500,Limerick,Cricket,IT
University of Limerick,Bachelor of Science in Financial Mathematics (LM058),468,6500,Limerick,Football,HR
University of Limerick,Bachelor of Science in Food Science and Health (LM068),464,7500,Limerick,Singing,Management
University of Limerick,Bachelor of Science in Immersive Software Engineering (LM173),100,7000,Limerick,Chess,Support
University of Limerick,Bachelor of Science in Physics (Common Entry) (LM125),489,8000,Limerick,Athletics ,Finance 
University of Limerick,Bachelor of Science in Applied Physics (LM125.1),489,5000,Limerick,Automation,Law
University of Limerick,Bachelor of Science in Mathematics and Physics (LM125.1),489,6500,Limerick,Cricket,IT
University of Limerick,Bachelor of Science in Product Design and Technology (LM076),401,6500,Limerick,Football,HR
University of Limerick,Bachelor of Science with concurrent Teacher Education (Biology and Chemistry OR Physics OR Agricultural Science) (LM092),521,5000,Limerick,Singing,Management
University of Limerick,Bachelor of Science with concurrent Teacher Education (Physical Sciences with Chemistry AND Physics) (LM096),454,6500,Limerick,Chess,Support
University of Limerick,Bachelor/ Masters of Engineering in Aeronautical Engineering (LM077),567,6500,Limerick,Athletics ,Finance 
University of Limerick,Bachelor/Master of Science in Artificial Intelligence and Machine Learning (LM174),569,6750,Limerick,Automation,Law
University of Limerick,Certificate/Diploma in Equine Science (LM180),351,2500,Limerick,Cricket,IT
University of Limerick,Creative Media and Interaction Design (Common Entry) (LM122),382,2800,Limerick,Football,HR
University of Limerick,Bachelor of Science in Digital Media Design (LM122.1),382,2900,Limerick,Singing,Management
University of Limerick,"Bachelor of Science in Music, Media & Performance Technology (LM122.2)",382,4210,Limerick,Chess,Support
University of Limerick,Engineering Common Entry (LM116),498,3689,Limerick,Athletics ,Finance 
University of Limerick,Bachelor of Engineering in Biomedical Engineering (LM116.1),498,3489,Limerick,Automation,Law
University of Limerick,BE/MEng in Civil Engineering (LM116.2),498,2240,Limerick,Cricket,IT
University of Limerick,Bachelor of Engineering in Design and Manufacture (LM116.3),498,2120,Limerick,Football,HR
University of Limerick,Bachelor/Master of Engineering in Mechanical Engineering (LM116.4),498,5000,Limerick,Singing,Management
University of Limerick,Mathematics (Common Entry)(LM124),455,4500,Limerick,Chess,Support
University of Limerick,Bachelor of Science in Mathematical Sciences (LM124.1) ,455,3500,Limerick,Athletics ,Finance 
University of Limerick,Bachelor of Science in Mathematics and Physics (LM124.2) ,455,6500,Limerick,Automation,Law
University of Limerick,Bachelor of Science in Economics and Mathematics (LM124.3) ,455,7500,Limerick,Cricket,IT
Technological University of the Shannon,"International Business
Bachelor of Business (Honours)(US853)",281,4210,Athlone,Football,HR
Technological University of the Shannon,"Business
Bachelor of Business(US720)",228,3689,Athlone,Singing,Management
Technological University of the Shannon,"Business
Bachelor of Business (Honours)(US840)",298,3489,Athlone,Chess,Support
Technological University of the Shannon,"Business and Law
Bachelor of Business (Honours)(US848)",900,2240,Athlone,Athletics ,Finance 
Technological University of the Shannon,"Digital Marketing
Bachelor of Business (Honours)(US844)",297,2120,Athlone,Automation,Law
Technological University of the Shannon,"Digital Marketing
Bachelor of Business(US724)",235,5000,Athlone,Cricket,IT
Technological University of the Shannon,"Civil Engineering
Bachelor of Engineering (Honours)(AL811)",256,4500,Athlone,Football,HR
Technological University of the Shannon,"Business
Higher Certificate in Business(US611)",272,3500,Athlone,Singing,Management
Technological University of the Shannon,"Business
Higher Diploma",233,6500,Athlone,Chess,Support
Technological University of the Shannon,"Early Years Care and Education
Bachelor of Arts (Honours)(AL864)",306,7500,Athlone,Athletics ,Finance 
Technological University of the Shannon,"Applied Psychology
Bachelor of Science (Honours)(AL870)",484,4210,Athlone,Automation,Law
Technological University of the Shannon,"BA (Hons) in Accounting with Finance
Bachelor of Arts (Honours)(US846)",310,3689,Athlone,Cricket,IT
Technological University of the Shannon,"BA (Hons) in Accounting with Finance and placement
Bachelor of Arts (Honours)(US847)",310,3489,Athlone,Football,HR
Technological University of the Shannon,"Hospitality Management (International Placement)
Bachelor of Arts (Honours)(AL855)",309,2240,Athlone,Singing,Management
Technological University of the Shannon,"Graphic & Digital Design
Bachelor of Arts (Honours)(AL863)",547,2120,Athlone,Chess,Support
Technological University of the Shannon,"Animation and Illustration
Bachelor of Arts (Honours)(AL861)",575,5000,Athlone,Athletics ,Finance 
Technological University of the Shannon,"Social Care Practice
Bachelor of Arts (Honours)(AL860)",301,4500,Athlone,Automation,Law
Technological University of the Shannon,"Applied Social Studies in Social Care
Bachelor of Arts(AL765)",300,3500,Athlone,Cricket,IT
