University,Course Name,CAO opening rank,CAO closing rank,Budget,City,Interest,Job domain,
Dublin Business School,BSc (Hons) Computing Software Development (DB503),320,625,7500,Dublin,Cricket,IT,
Dublin Business School,Bachelor of Business ( DB571),450,625,7000,Dublin,Football,HR,
Dublin Business School,Bachelor of Business in Accounting (DB572),398,625,8000,Dublin,Singing,Management,
Dublin Business School,Bachelor of Business in Marketing (DB573),364,625,5000,Dublin,Chess,Support,
Dublin Business School,BA (Hons) Marketing - Digital Media and Cloud Computing (DB525),412,625,2500,Dublin,Athletics ,Finance ,
Dublin Business School,BA (Hons) Film & Creative Media (DB567),369,625,2800,Dublin,Automation,Law,
Dublin Business School,"BA (Hons) Business(DB512, DB514, DB569, DB515, DB520)",560,625,2900,Dublin,Cricket,IT,
South East Technological University,Bachelor of Business (Hons) (Common Entry) (SE402),310,625,2240,Carlow,Automation,Law,
South East Technological University,Bachelor of Business (Honours) in Business Management (SE401),261,625,2120,Carlow,Cricket,IT,
South East Technological University,Bachelor of Business Hons (Human Resource Management) (SE414),241,625,5000,Carlow,Football,HR,
South East Technological University,Bachelor of Business (Honours) in International Business (SE401),261,625,4500,Carlow,Singing,Management,
South East Technological University,Bachelor of Business Hons (Accounting) (SE407),329,625,3500,Carlow,Chess,Support,
South East Technological University,Bachelor of Business Hons (Management) (SE414),214,625,6500,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Business Hons (Marketing) (SE401),272,625,7500,Carlow,Automation,Law,
South East Technological University,Bachelor of Business (Hons) in Business Information Systems (BIS) (SE409),252,625,7000,Carlow,Cricket,IT,
South East Technological University,Bachelor of Business (Honours) in Business with Law (SE403),267,625,8000,Carlow,Football,HR,
South East Technological University,Bachelor of Business (Honours) in Finance and Accounting (SE401),261,625,5000,Carlow,Singing,Management,
South East Technological University,Higher Certificate in Business with Law (SE421),251,625,3500,Carlow,Chess,Support,
South East Technological University,Bachelor of Science (Honours) in Cybercrime and IT Security (SE606),338,625,6500,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Science in Cybercrime and IT Security (SE612),228,625,7500,Carlow,Automation,Law,
South East Technological University,Bachelor of Science (Honours) in Computing in Interactive Digital Art and Design (SE608),320,625,7000,Carlow,Cricket,IT,
South East Technological University,Bachelor of Science in Computing in Interactive Digital Art and Design (SE615),233,625,8000,Carlow,Football,HR,
South East Technological University,Bachelor of Science (Honours) in Computer Games Development (SE607),326,625,5000,Carlow,Singing,Management,
South East Technological University,Bachelor of Science (Honours) in Software Development (SE603),347,625,6500,Carlow,Chess,Support,
South East Technological University,Bachelor of Science in Software Development (SE609),270,625,6500,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Science (Honours) in Information Technology Management (SE601),310,625,6750,Carlow,Automation,Law,
South East Technological University,Bachelor of Science in Information Technology Management (SE614),251,625,2500,Carlow,Cricket,IT,
South East Technological University,Higher Certificate Science in Computing (with Options in Applications or Programming) (SE616),225,625,2800,Carlow,Football,HR,
South East Technological University,Bachelor of Science (Honours) Common Entry (SE500),256,625,2900,Carlow,Singing,Management,
South East Technological University,Bachelor of Science (Honours) in Biosciences with Biopharmaceuticals (SE500),279,625,4210,Carlow,Chess,Support,
South East Technological University,Bachelor of Science (Honours) in Pharmaceutics and Drug Formulation (SE500),279,625,3689,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Science (Honours) in Brewing and Distilling (SE521),317,625,3489,Carlow,Automation,Law,
South East Technological University,Bachelor of Science in Biosciences (SE515),208,625,2240,Carlow,Cricket,IT,
South East Technological University,Bachelor of Science in Analytical Science (SE513),270,625,2120,Carlow,Football,HR,
South East Technological University,Higher Certificate Science in Applied Biology or Applied Chemistry (SE516),191,625,5000,Carlow,Singing,Management,
South East Technological University,Higher Certificate in Science in Pharmacy Technician Studies (SE937),224,625,4500,Carlow,Chess,Support,
South East Technological University,Bachelor of Engineering (Honours) in Electronic Systems (SE708),224,625,3500,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Engineering in Electronic Engineering (SE722),307,625,6500,Carlow,Automation,Law,
South East Technological University,Bachelor of Science (Honours) in TV and Media Production (SE208),270,625,7500,Carlow,Cricket,IT,
South East Technological University,Bachelor of Science in TV and Media Production (SE212),285,625,7000,Carlow,Football,HR,
South East Technological University,Bachelor of Engineering in Aircraft Systems (SE729),327,625,8000,Carlow,Singing,Management,
South East Technological University,Bachelor of Engineering (Honours) Agricultural Systems Engineering (SE732),200,625,5000,Carlow,Chess,Support,
South East Technological University,Bachelor of Engineering Agricultural Systems Engineering (SE733),100,625,6500,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Engineering in Mechanical Engineering (SE724),338,625,6500,Carlow,Automation,Law,
South East Technological University,Bachelor of Science in Pilot Studies (SE715),100,625,6750,Carlow,Cricket,IT,
South East Technological University,Bachelor of Engineering (Honours) in Mechanical Engineering (SE711),379,625,2500,Carlow,Football,HR,
South East Technological University,Bachelor of Engineering (Honours) in Aerospace Engineering (SE714),395,625,2800,Carlow,Singing,Management,
South East Technological University,Bachelor of Science (Honours) in Sustainable Farm Management and Agribusiness (SE5030,246,625,2900,Carlow,Chess,Support,
South East Technological University,Bachelor of Science (Honours) Organic Agriculture (SE517),100,625,4210,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Science Organic Agriculture (SE518),100,625,3689,Carlow,Automation,Law,
South East Technological University,Bachelor of Science in Sustainable Farm Management and Agribusiness (SE509),164,625,3489,Carlow,Cricket,IT,
South East Technological University,Bachelor of Education (Honours) in Early Childhood Education and Practice (SE912),260,625,2240,Carlow,Football,HR,
South East Technological University,Bachelor of Education in Early Childhood Education and Practice (SE934),223,625,2120,Carlow,Singing,Management,
South East Technological University,Bachelor of Arts (Honours) in Applied Social Studies in Professional Social Care (SE917),222,625,5000,Carlow,Chess,Support,
South East Technological University,Bachelor of Business (Honours) Common Entry (SE402),310,625,4500,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Business (Honours) in Business (SE402),310,625,3500,Carlow,Automation,Law,
South East Technological University,Bachelor of Business (Honours) in Digital Marketing (SE402),310,625,6500,Carlow,Cricket,IT,
South East Technological University,Bachelor of Business Common Entry (Options in Business & Digital Marketing) (SE416),250,625,7500,Carlow,Football,HR,
South East Technological University,Bachelor of Business in Business (SE416),250,625,7000,Carlow,Singing,Management,
South East Technological University,Bachelor of Business in Digital Marketing (SE416),250,625,8000,Carlow,Chess,Support,
South East Technological University,Higher Certificate in Business (XBS) (SE420),172,625,5000,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Science (Honours) in Tourism and Event Management (SE922),251,625,6500,Carlow,Automation,Law,
South East Technological University,Bachelor of Science in Tourism and Event Management (SE925),223,625,6500,Carlow,Cricket,IT,
South East Technological University,Bachelor of Arts (Honours) Visual Communications and Design (SE204),264,625,6750,Carlow,Football,HR,
South East Technological University,Bachelor of Arts Visual Communications and Design (SE210),100,625,2500,Carlow,Singing,Management,
South East Technological University,Bachelor of Arts (Honours) in Art (SE207),101,625,2800,Carlow,Chess,Support,
South East Technological University,Bachelor of Arts in Art (SE211),102,625,2900,Carlow,Athletics ,Finance ,
South East Technological University,Bachelor of Engineering (Honours) Agricultural Systems Engineering (SE732),103,625,4210,Carlow,Automation,Law,
South East Technological University,Bachelor of Engineering Agricultural Systems Engineering (SE733),104,625,3689,Carlow,Cricket,IT,
"Carlow College, St Patrick's",B.A. in Arts & Humanities (PC402),200,625,3489,Carlow,Football,HR,
"Carlow College, St Patrick's",B.A. in Applied Social Studies (Professional Social Care)(PC404),200,625,2240,Carlow,Singing,Management,
"Carlow College, St Patrick's",BA (Hons) in Arts & Humanities (PC410),261,625,2120,Carlow,Chess,Support,
"Carlow College, St Patrick's",BA (Hons) in English & History (PC411),242,625,5000,Carlow,Athletics ,Finance ,
"Carlow College, St Patrick's","BA (Hons) in Social, Political & Community Studies (PC405)",271,625,4500,Carlow,Automation,Law,
"Carlow College, St Patrick's",BA (Hons) in Psychology (PC414),300,625,3500,Carlow,Cricket,IT,
"Carlow College, St Patrick's","BA (Hons) in Philosophy, Politics & Sociology (PC415)",100,625,6500,Carlow,Football,HR,
"Carlow College, St Patrick's","BA (Hons) in Media, English & Culture (PC416)",101,625,7500,Carlow,Singing,Management,
"Carlow College, St Patrick's",BA (Hons) in Applied Social Studies (Professional Social Care) (PC000),102,625,7000,Carlow,Chess,Support,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Communications with English (AU312),103,625,8000,Letterkenny,Athletics ,Finance ,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Corporate Law (AU311) ,359,625,5000,Letterkenny,Automation,Law,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Laws (Hons) LLB (AU310),424,625,6500,Letterkenny,Cricket,IT,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Design (Common Entry) (AU330),456,625,6500,Letterkenny,Football,HR,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Animation (AU330),477,625,6750,Letterkenny,Singing,Management,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Fashion Design with Promotion (AU330),498,625,2500,Letterkenny,Chess,Support,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Film & Media Production (AU330),323,625,2800,Letterkenny,Athletics ,Finance ,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Graphic & UX Design (AU330),257,625,2900,Letterkenny,Automation,Law,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Athletic Therapy and Exercise Rehabilitation (AU321),235,625,4210,Letterkenny,Cricket,IT,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Arts (Hons) Hospitality Management Ab-initio (AU322),290,625,3689,Letterkenny,Football,HR,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Sport & Exercise (Common Entry) (AU320),190,625,3489,Letterkenny,Singing,Management,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Sport & Exercise with Performance and Well-being (AU320),200,625,2240,Letterkenny,Chess,Support,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Sport & Exercise with Physical Education (AU320),299,625,2120,Letterkenny,Athletics ,Finance ,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Business (Hons) Accounting (AU300),399,625,5000,Letterkenny,Automation,Law,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Business (Hons) Business (AU301),499,625,4500,Letterkenny,Cricket,IT,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Business (Hons) Marketing with Online Technologies (AU302),412,625,3500,Letterkenny,Football,HR,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Architectural Technology (AU343),466,625,6500,Letterkenny,Singing,Management,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Construction Management (AU342),423,625,7500,Letterkenny,Chess,Support,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) Fire Safety Engineering (AU340),432,625,7000,Letterkenny,Athletics ,Finance ,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Quantity Surveying (AU341),443,625,8000,Letterkenny,Automation,Law,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) BEng Hons in Engineering (Common Entry) (AU353),490,625,5000,Letterkenny,Cricket,IT,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) Biomedical Engineering (AU352),393,625,6500,Letterkenny,Football,HR,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Computing and Mathematics (LY638),373,625,6500,Letterkenny,Singing,Management,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) Electronic Engineering (AU351),376,625,6750,Letterkenny,Chess,Support,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Engineering (Hons) Mechanical Engineering (AU350),369,625,2500,Letterkenny,Athletics ,Finance ,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Applied Computing (AU360),349,625,2800,Letterkenny,Automation,Law,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) BSc Hons in Cyberpsychology (AU362),318,625,2900,Letterkenny,Cricket,IT,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) BSc Hons in Cyberpsychology (AU362),274,625,4210,Letterkenny,Football,HR,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Computer Science (AU361),295,625,3689,Letterkenny,Singing,Management,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Data Science and Artificial Intelligence (AU363),297,625,3489,Letterkenny,Chess,Support,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Health Care Innovation and Technology (LY728),289,625,2240,Letterkenny,Athletics ,Finance ,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Agriculture (Common Entry) (AU371),284,625,2120,Letterkenny,Automation,Law,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) in Agriculture Animal & Crop Science (AU371),281,625,5000,Letterkenny,Cricket,IT,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) in Agriculture Environmental Management (AU371),291,625,4500,Letterkenny,Football,HR,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Bioanalytical Science (AU372),395,625,3500,Letterkenny,Singing,Management,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Food Science & Nutrition (AU370),397,625,6500,Letterkenny,Chess,Support,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Pharmaceutical & Medicinal Science (AU373) ,336,625,7500,Letterkenny,Athletics ,Finance ,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) General Nursing (AU380),258,625,7000,Letterkenny,Automation,Law,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Intellectual Disability Nursing (AU382),453,625,8000,Letterkenny,Cricket,IT,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Mental Health Nursing (AU381),480,625,5000,Letterkenny,Football,HR,
Atlantic Technological University - Donegal Letterkenny Campus,"Bachelor of Science (Hons) Early Childhood Care, Health & Education (AU390) ",248,625,6500,Letterkenny,Singing,Management,
Atlantic Technological University - Donegal Letterkenny Campus,Bachelor of Science (Hons) Health & Social Care (AU391),186,625,6500,Letterkenny,Chess,Support,
University of Limerick,Bachelor of Architecture (LM099),532,625,5000,Limerick,Athletics ,Finance ,
University of Limerick,Bachelor of Engineering in Chemical and Biochemical Engineering (LM115),476,625,6500,Limerick,Automation,Law,
University of Limerick,Bachelor of Engineering in Electronic and Computer Engineering (LM118),445,625,6500,Limerick,Cricket,IT,
University of Limerick,Bachelor of Science in Biological and Chemical Sciences (Common Entry) (LM123),498,625,6750,Limerick,Football,HR,
University of Limerick,Bachelor of Science in Bioscience (LM123.1),498,625,2500,Limerick,Singing,Management,
University of Limerick,Bachelor of Science in Environmental Science (LM123.2),498,625,2800,Limerick,Chess,Support,
University of Limerick,Bachelor of Science in Industrial Biochemistry (LM123.3),498,625,2900,Limerick,Athletics ,Finance ,
University of Limerick,Bachelor of Science in Pharmaceutical and Industrial Chemistry (LM123.4),498,625,4210,Limerick,Automation,Law,
University of Limerick,Bachelor of Science in Computer Science (Common Entry) (LM121.1),402,625,3689,Limerick,Cricket,IT,
University of Limerick,Bachelor of Science in Computer Systems (LM121.2),402,625,3489,Limerick,Football,HR,
University of Limerick,Bachelor of Science Computer Games Development (LM121.2),402,625,2240,Limerick,Singing,Management,
University of Limerick,Bachelor of Science in Cyber Security and IT Forensics (LM121.3),402,625,2120,Limerick,Chess,Support,
University of Limerick,Bachelor of Science in Construction Management and Engineering (LM082),446,625,5000,Limerick,Athletics ,Finance ,
University of Limerick,Bachelor of Science in Environmental Science (LM066),430,625,4500,Limerick,Automation,Law,
University of Limerick,Bachelor of Science in Equine Science (LM093),367,625,3500,Limerick,Cricket,IT,
University of Limerick,Bachelor of Science in Financial Mathematics (LM058),468,625,6500,Limerick,Football,HR,
University of Limerick,Bachelor of Science in Food Science and Health (LM068),464,625,7500,Limerick,Singing,Management,
University of Limerick,Bachelor of Science in Immersive Software Engineering (LM173),100,625,7000,Limerick,Chess,Support,
University of Limerick,Bachelor of Science in Physics (Common Entry) (LM125),489,625,8000,Limerick,Athletics ,Finance ,
University of Limerick,Bachelor of Science in Applied Physics (LM125.1),489,625,5000,Limerick,Automation,Law,
University of Limerick,Bachelor of Science in Mathematics and Physics (LM125.1),489,625,6500,Limerick,Cricket,IT,
University of Limerick,Bachelor of Science in Product Design and Technology (LM076),401,625,6500,Limerick,Football,HR,
University of Limerick,Bachelor of Science with concurrent Teacher Education (Biology and Chemistry OR Physics OR Agricultural Science) (LM092),521,625,5000,Limerick,Singing,Management,
University of Limerick,Bachelor of Science with concurrent Teacher Education (Physical Sciences with Chemistry AND Physics) (LM096),454,625,6500,Limerick,Chess,Support,
University of Limerick,Bachelor/ Masters of Engineering in Aeronautical Engineering (LM077),567,625,6500,Limerick,Athletics ,Finance ,
University of Limerick,Bachelor/Master of Science in Artificial Intelligence and Machine Learning (LM174),569,625,6750,Limerick,Automation,Law,
University of Limerick,Certificate/Diploma in Equine Science (LM180),351,625,2500,Limerick,Cricket,IT,
University of Limerick,Creative Media and Interaction Design (Common Entry) (LM122),382,625,2800,Limerick,Football,HR,
University of Limerick,Bachelor of Science in Digital Media Design (LM122.1),382,625,2900,Limerick,Singing,Management,
University of Limerick,"Bachelor of Science in Music, Media & Performance Technology (LM122.2)",382,625,4210,Limerick,Chess,Support,
University of Limerick,Engineering Common Entry (LM116),498,625,3689,Limerick,Athletics ,Finance ,
University of Limerick,Bachelor of Engineering in Biomedical Engineering (LM116.1),498,625,3489,Limerick,Automation,Law,
University of Limerick,BE/MEng in Civil Engineering (LM116.2),498,625,2240,Limerick,Cricket,IT,
University of Limerick,Bachelor of Engineering in Design and Manufacture (LM116.3),498,625,2120,Limerick,Football,HR,
University of Limerick,Bachelor/Master of Engineering in Mechanical Engineering (LM116.4),498,625,5000,Limerick,Singing,Management,
University of Limerick,Mathematics (Common Entry)(LM124),455,625,4500,Limerick,Chess,Support,
University of Limerick,Bachelor of Science in Mathematical Sciences (LM124.1) ,455,625,3500,Limerick,Athletics ,Finance ,
University of Limerick,Bachelor of Science in Mathematics and Physics (LM124.2) ,455,625,6500,Limerick,Automation,Law,
University of Limerick,Bachelor of Science in Economics and Mathematics (LM124.3) ,455,625,7500,Limerick,Cricket,IT,
Technological University of the Shannon,"International Business
Bachelor of Business (Honours)(US853)",281,625,4210,Athlone,Football,HR,
Technological University of the Shannon,"Business
Bachelor of Business(US720)",228,625,3689,Athlone,Singing,Management,
Technological University of the Shannon,"Business
Bachelor of Business (Honours)(US840)",298,625,3489,Athlone,Chess,Support,
Technological University of the Shannon,"Business and Law
Bachelor of Business (Honours)(US848)",900,625,2240,Athlone,Athletics ,Finance ,
Technological University of the Shannon,"Digital Marketing
Bachelor of Business (Honours)(US844)",297,625,2120,Athlone,Automation,Law,
