,CourseID,Course_name,Score1,Score2
437,CW058,Sustainable Architectural Technology (Wexford),310,330.0
438,CW068,Applied Social Studies - Social Care (Wexford),325,335.0
439,CW078,Economic and Social Studies (Wexford),295,305.0
440,CW088,Visual Communications and Design (Wexford),345,360.0
441,CW108,Biosciences with Bioforensics OR Biopharmaceuticals,295,340.0
442,CW168,Environmental Science,310,360.0
443,CW178,Sport Science,410,420.0
444,CW188,Sports Rehabilitation and Athletic Therapy,440,460.0
445,CW208,Computer Games Development,305,355.0
446,CW238,Software Development,285,320.0
447,CW248,Computing Systems Management,290,330.0
448,CW438,Construction - Quantity Surveying,300,325.0
449,CW448,Construction - Facilities and Energy Management,300,335.0
450,CW708,Law,320,350.0
451,CW728,Product Design Innovation,300,330.0
452,CW748,Early Childhood Education and Care,335,350.0
453,CW758,Applied Social Studies - Social Care,350,360.0
454,CW768,Social and Community Studies,325,340.0
455,CW808,Communications and Public Relations,290,320.0
456,CW818,Accounting,310,360.0
457,CW838,Business - Marketing,280,315.0
458,CW908,Business,300,330.0
459,CW928,Business - Human Resource Management,300,315.0
460,CW938,Business with Law,300,340.0
461,CR105,Chemical and Biopharmaceutical Engineering,360,450.0
462,CR106,Software Development,295,340.0
463,CR108,Mechanical Engineering,370,425.0
464,CR109,Structural Engineering,275,345.0
465,CR112,Multimedia,375,420.0
466,CR116,Software Development and Computer Networking,300,360.0
467,CR121,Music at CIT - Cork School of Music,**855,100.0
468,CR150,Business Information Systems,310,335.0
469,CR220,Fine Art and Ceramic Design at CIT Crawford College,#750,895.0
470,CR305,Science (Level 8 -  Common Entry),320,355.0
471,CR310,IT Management,300,335.0
472,CR312,Web Development,300,365.0
473,CR320,Biomedical Science - Joint CIT and UCC programme,490,505.0
474,CR325,Pharmaceutical Biotechnology,320,370.0
475,CR330,Herbal Science,300,330.0
476,CR333,Nutrition and Health Science,330,365.0
477,CR340,Analytical Chemistry with Quality Assurance,235,320.0
478,CR360,Instrument Engineering,315,345.0
479,CR365,Environmental Science and Sustainable Technology,330,355.0
480,CR400,Accounting,345,390.0
481,CR420,Marketing,290,325.0
482,CR500,Common Engineering Honours Degree Entry,350,400.0
483,CR510,Sustainable Energy,390,415.0
484,CR520,Biomedical Engineering,275,480.0
485,CR560,Architectural Technology,370,390.0
486,CR565,Interior Architecture,310,345.0
487,CR570,Quantity Surveying,290,320.0
488,CR572,Construction Management,280,330.0
489,CR590,Electronic Systems Engineering,300,345.0
490,CR600,Visual Communications,#670,805.0
491,CR660,Tourism,280,310.0
492,CK101,Arts,350,395.0
493,CK102,Social Science,390,415.0
494,CK103,Music,#370,430.0
495,CK104,Arts with Music,#445,485.0
496,CK106,Applied Psychology,500,515.0
497,CK111,Early Years and Childhood Studies,395,425.0
498,CK112,Drama and Theatre Studies,#370,475.0
499,CK114,Social Science (Youth and Community Work) - Mature Applicants,#,
500,CK115,Social Work - Mature Applicants only,#,
501,CK116,Sports Studies and Physical Education,470*,490.0
502,CK201,Commerce,430,455.0
503,CK202,Accounting,470,505.0
504,CK203,Business Information Systems,380,410.0
505,CK204,Finance,435,465.0
506,CK205,Commerce (International) with French,445,475.0
507,CK206,Commerce (International) with German,405,455.0
508,CK207,Commerce (International) with Italian,345,410.0
509,CK208,Commerce (International) with Hispanic Studies,350,425.0
510,CK209,Commerce (International) with Irish,450,470.0
511,CK210,Government,330,375.0
512,CK211,Commerce (International) with Chinese Studies,330,435.0
513,CK301,Law,485,500.0
514,CK302,Law and French,490,525.0
515,CK303,Law and German,465,500.0
516,CK304,Law and Irish,515,525.0
517,CK305,Law (Clinical),505,520.0
518,CK306,Law (International),535,560.0
519,CK401,Computer Science,315,360.0
520,CK402,Biological and Chemical Sciences,375,440.0
521,CK404,Environmental and Earth System Sciences,370,425.0
522,CK405,Genetics,425,465.0
523,CK406,Chemical Sciences,365,400.0
524,CK407,Mathematical Sciences,500,550.0
525,CK408,Physics and Astrophysics,430,505.0
526,CK502,Food Marketing and Entrepreneurship,390,415.0
527,CK504,Nutritional Sciences,470,490.0
528,CK505,Food Science,335,380.0
529,CK506,International Development and Food Policy,335,370.0
530,CK601,Process and Chemical Engineering,455,500.0
531,CK602,Civil and Environmental Engineering,430,495.0
532,CK603,Energy Engineering,495,525.0
533,CK605,Electrical and Electronic Engineering,405,460.0
534,CK606,Architecture - Joint UCC and CIT programme,425*,470.0
535,CK701,Medicine - (Undergraduate Entry),#725,
536,CK702,Dentistry,570*,580.0
537,CK703,Pharmacy,540,555.0
538,CK704,Occupational Therapy,505,525.0
539,CK705,Speech and Language Therapy,500,525.0
540,CK706,Public Health and Health Promotion,355,405.0
541,CK710,General Nursing,440*,460.0
542,CK711,Mature Applicants General Nursing,#165,171.0
543,CK712,Children's and General Nursing (Integrated),500,520.0
544,CK713,Mature Applicants Children's and General Nursing (Integrated),#163,179.0
545,CK720,Psychiatric Nursing,415,420.0
546,CK721,Mature Applicants Psychiatric Nursing,#163*,166.0
547,CK730,Intellectual Disability Nursing,405,415.0
548,CK731,Mature Applicants Intellectual Disability Nursing,#161,166.0
549,CK740,Midwifery,435*,455.0
550,CK741,Mature Applicants Midwifery,#171,173.0
551,CK791,Medicine - Graduate Entry,#59*,607.0
552,AH001,Theology and Philosophy,280,305.0
553,AH002,Theology and Psychology,340,355.0
554,AH003,Theology and English Literature,340,345.0
555,AC120,International Business,305,340.0
556,AC121,Accounting and Finance,335,355.0
557,CE001,Education - Primary Teaching,375,
558,CM001,Education - Primary Teaching,465*,470.0
559,CM002,Education - Primary Teaching - Gaeltacht Applicants,425*,430.0
560,DB512,Business Studies,230,310.0
561,DB514,Business and Law,265,320.0
562,DB515,Business with Human Resource Management,205,315.0
563,DB516,Business with Financial Services,325,335.0
564,DB517,Marketing with Event Management,155,320.0
565,DB519,Business Management with Leisure and Recreation,200,290.0
566,DB520,Business Studies  (with one year work placement),225,305.0
567,DB521,Accounting and Finance,260,335.0
568,DB531,Marketing,265,320.0
569,DB553,Film Literature and Drama,210,310.0
570,DB561,Arts (General),205,315.0
571,DB562,Psychology,200,325.0
572,DB564,Media and Cultural Studies,170,315.0
573,DB565,Journalism,210,310.0
574,DB566,Social Science,225,305.0
575,DB567,Film Studies,175,305.0
576,DB568,Law,205,320.0
577,DB569,Business with Psychology,235,310.0
578,DC111,Business Studies,420,440.0
579,DC112,European Business (French),430,460.0
580,DC113,European Business (German),360,375.0
581,DC114,European Business (Spanish),400,415.0
582,DC115,Accounting and Finance,425,470.0
583,DC116,European Business (Transatlantic Studies),510,520.0
584,DC117,Aviation Management / Aviation Management with Pilot Studies,420,440.0
585,DC118,Gn� agus Gaeilge,345,375.0
586,DC120,Enterprise Computing,315,350.0
587,DC121,Computer Applications,325,360.0
588,DC126,Actuarial Mathematics,500,530.0
589,DC127,Actuarial  Financial and Mathematical Sciences (common entry),420,465.0
590,DC131,Communication Studies,440,470.0
591,DC132,Journalism,440,465.0
592,DC133,Multimedia,400,415.0
593,DC144,International Business and Languages (English as a Foreign Lan),375,395.0
594,DC145,International Business and Languages (French/German/Spanish),370,430.0
595,DC149,International Business and Languages (Japanese),380,410.0
596,DC150,International Business and Languages (Chinese),375,405.0
597,DC155,Applied Language and Intercultural Studies,340,415.0
598,DC156,Languages for International Communication - English Stream -,330,390.0
599,DC161,Analytical Science,380,405.0
600,DC162,Chemical and Pharmaceutical Sciences,380,400.0
601,DC166,Environmental Science and Health,375,400.0
602,DC167,Physics with Astronomy,355,375.0
603,DC168,Genetics and Cell Biology,410,425.0
604,DC171,Applied Physics,360,425.0
605,DC173,Physics with Biomedical Sciences,370,405.0
606,DC181,Biotechnology,380,425.0
607,DC191,Electronic Engineering,320,380.0
608,DC192,Information and Communications Engineering,,
609,DC193,Mechatronic Engineering,310,430.0
610,DC195,Mechanical and Manufacturing Engineering,320,400.0
611,DC196,Manufacturing Engineering with Business Studies,300,345.0
612,DC197,Biomedical Engineering,335,420.0
613,DC199,Digital Media Engineering,330,425.0
614,DC200,Common Entry into Engineering (Undenominated Entry),305,405.0
615,DC201,Common Entry into Science (Undenominated Entry),375,400.0
616,DC202,Sport Science and Health,445,460.0
617,DC203,Science Education,415,440.0
618,DC204,Athletic Therapy and Training,475,490.0
619,DC205,Physical Education with Biology,485,500.0
620,DC208,Psychology,480,490.0
621,DC211,Music Performance at the Royal Irish Academy of Music,#335,470.0
622,DC212,Composition at the Royal Irish Academy of Music,#495,495.0
623,DC215,General Nursing,415*,440.0
624,DC216,Psychiatric Nursing,365,375.0
625,DC217,Intellectual Disability Nursing,370*,385.0
626,DC218,Children�s and General Nursing (Integrated),460*,465.0
627,DC225,Mature Applicants General Nursing,#166*,174.0
628,DC226,Mature Applicants Psychiatric Nursing,#153,164.0
629,DC227,Mature Applicants Intellectual Disability Nursing,#150,162.0
630,DC228,Mature Applicants Children�s and General Nursing (Integrated),#172,185.0
631,DC230,Economics Politics and Law,400,425.0
632,DC231,International Relations,400,445.0
633,DC232,Law and Society (BCL),440,460.0
634,DC235,Education and Training,360,380.0
635,DC238,Contemporary Culture and Society,360,395.0
636,DC239,Gaeilge agus Iriseoireacht/Irish and Journalism,450,480.0
637,DC240,Marketing Innovation and Technology,400,420.0
638,DT001,Product Design,380,405.0
639,DT021,Electrical and Electronic Engineering,345,425.0
640,DT023,Manufacturing and Design Engineering,320,405.0
641,DT025,Engineering - Common 1st Year,350,410.0
642,DT028,Transport Operations and Technology,250,315.0
643,DT081,Computer and Communications Engineering,310,395.0
644,DT101,Architecture,#575,605.0
645,DT105,Architectural Technology,375,405.0
646,DT106,Planning and Environmental Management,315,340.0
647,DT110,Property Economics (Valuation Surveying),320,345.0
648,DT111,Construction Economics and Management (Quantity Surveying),330,375.0
649,DT112,Geomatics (Surveying and Mapping),285,345.0
650,DT117,Construction Management,300,340.0
651,DT203,Forensic and Environmental Analysis,335,375.0
652,DT204,Biomedical Science,420,445.0
653,DT205,Mathematical Sciences,280,370.0
654,DT211,Computing,315,325.0
655,DT220,Industrial Mathematics,290,380.0
656,DT222,Physics Technology,300,340.0
657,DT223,Human Nutrition and Dietetics,540,550.0
658,DT224,Optometry,515,535.0
659,DT227,Science with Nanotechnology,320,350.0
660,DT228,Computer Science,335,360.0
661,DT229,Clinical Measurement,395,415.0
662,DT235,Physics with Medical Physics and Bioengineering,285,390.0
663,DT299,Chemical Sciences with Medicinal Chemistry,335,375.0
664,DT341,Marketing,375,390.0
665,DT343,Retail and Services Management,330,355.0
666,DT354,Business Computing,340,365.0
667,DT358,Logistics and Supply Chain Management,290,325.0
668,DT365,Business and Management,400,415.0
669,DT366,Accounting and Finance,405,420.0
670,DT401,International Hospitality Management,280,325.0
671,DT407,Culinary Arts,385,415.0
672,DT412,Tourism Marketing,250,320.0
673,DT413,Event Management,390,410.0
674,DT416,Culinary Entrepreneurship,315,345.0
675,DT417,Bar Studies (Management and Entrepreneurship),300,330.0
676,DT420,Nutraceuticals in Health and Nutrition,360,385.0
677,DT421,Food Innovation,305,345.0
678,DT422,Pharmaceutical Healthcare,315,345.0
679,DT491,Environmental Health,330,370.0
680,DT501,Music,#383,495.0
681,DT529,Drama (Performance),#360,470.0
682,DT544,Design - Interior and Furniture,#495,675.0
683,DT545,Design - Visual Communication,#795,885.0
684,DT546,Fine Art,#785,905.0
685,DT552,Media Arts,410,440.0
686,DT553,Journalism and a Language,415,440.0
687,DT555,International Business and Languages - (French),390,425.0
688,DT556,International Business and Languages - (German),340,360.0
689,DT557,International Business and Languages - (Spanish),350,380.0
690,DT558,International Business and Languages - (English),#,
691,DT559,Photography,#660,725.0
692,DT564,International Business and Languages - (Italian),355,390.0
693,DT565,Chinese and International Business,345,365.0
694,DT571,Social Care,410,430.0
695,DT572,Early Childhood Education,410,435.0
696,DT582,Journalism,420,440.0
697,DT595,Applied Arts (Creative Industries - Theory and Context),370,410.0
698,DT596,Print and Digital Media Management Technology,180,300.0
